date,content,username
2023-01-28 09:32:00+00:00,@eNGOthai #จกตา ด้วย #จกกี ด้วยคร๊,NakedEquality
2022-09-25 15:38:45+00:00,"ถ้าเธอบอกว่าดี....
           ....เราก็ว่าดี🥴🤣🤣

#จกตา
#ป๊ายปายโอริโอ้ https://t.co/UEtAVgueoB",Apinya_najaaa
2022-09-09 07:41:30+00:00,"@BUdonsuk @Cookie97020934 คลุกน้ำลาย ชช.เองแหล่ะ ดีสุดละ 😂😂😂
#ขี้ฝอย #จกตา #สร้างภาพ",radhakarn
2022-05-13 19:25:53+00:00,ลูกค้าใน #สุรินทร์ ระวังดีนะคะ  ชอบเอารูปคนอื่นไปโพสต์รับงาน    #จกตา เคยมีลูกค้าบอกว่าไม่ตรงปก  หลอกว่ามีนมแปลงเพศเเล้ว https://t.co/BP6YhXibKY,Meme38450546
2022-03-31 00:04:00+00:00,"4 เหตุผลที่คนโดน #แกง #จกตา จาก #แก๊งคอลเซนเตอร์ 
มันดูเป็นเรื่องง่ายๆ สำหรับคนที่รู้ทัน
แต่มันเป็นเรื่องยากสำหรับคนอีกหลายคนที่เขารู้ไม่ทัน แล้วก็ต้องสังเวยด้วยเงินทองทรัพย์สินอีกมากมาย ข่าวออกเป็นว่าเล่น ทุกวันนี้ คนก็เริ่มรู้ทันและถ่ายเอามาลงโซเชียลกันมากมาย 

#PCTPolice https://t.co/WAjcs1vBxy",pctpolice
2021-06-28 14:24:11+00:00,"..#กลัวจริง ไม่ #จกตา แหละ..😂

ปล. ขออภัยในเสียงขำกลั้นไม่อยู่จริง ๆ 🤣
 #พราวมุกep13 https://t.co/w8odhSoNRb",TsP_304
2021-06-16 15:49:50+00:00,#จกตา ง่วงแค่ไหนก้อต้องทำงานกะดึก https://t.co/pF5kI44iLJ,RotsukolPutsom
2021-05-21 03:03:22+00:00,"เดี่ยวนี้ ขยะสังคมก็เป็น Idol ของพวกสามกลีบก็ได้ 
_________
#จกตา
#joktath https://t.co/4KBASFlYpG",truebeautyaus
2021-01-04 06:43:21+00:00,จะชอบอะไรก็ชอบไป แต่อย่ามาชอบเสือกได้ไหม สึด🤨🤬‼️#จกตา #มอร์นิ่งสดใสไปกับดัชชี่ #แคปชั่นกวนๆ #แคปชั่นปีใหม่ #แคปชั่นน่ารัก #แคปชั่นโดนๆ #แคปชั่นใหม่ #แคปชั่น2021 #แคปชั่นโควิด #แคปชั่นอ่อยแรง https://t.co/eWmmg8Z8Qj,aengpong
2020-12-12 06:10:37+00:00,หัวฟู แต่หน้าแน่น 4ชั่วโมงแห่งความหวัง 😂😂😂😂 #จกตา https://t.co/gxj1WEXbLW,AppleLAPIS
2020-12-12 05:02:38+00:00,#ซิลวี่ สายแดนซ์ cr. #จกตา #wonderframe https://t.co/TIgrxWTXxo,A_Pluem
2020-12-10 06:05:10+00:00,"ผลงานกำกับ ลำดับที่ 3 ของข้าพเจ้า #จกตา ฝากติดตามด้วยค่ะ 12.12.20 นี้ พร้อมกัน ทั่วโลก !!!! 

【 OFFICIAL TEASER 】 จกตา - WONDERFRAME https://t.co/9XnGK9Qdwp via @YouTube",AppleLAPIS
2020-10-28 01:54:14+00:00,"ถ้าเขาจะรัก..
ตัวจริงไม่เหมือนในรูปเขาก็รัก
#จกตา",milk59447637
2020-10-02 08:53:00+00:00,ก็แจ้งไปเลยว่า งานแถลงเปิดตัว ผบ.ตร.คนใหม่ ผู้คนจะได้ไม่ต้องคาดหวัง กรุคนนึงล่ะที่คิดว่าต้องได้ข่าวคืบหน้า คงแถลงคนร้าย ใหนได้ #จกตา เฉย🙄,SuN_Bunnag911
2020-09-15 06:11:42+00:00,"ตั้งใจว่าจะต่อฟิคตอนว่าง..ในสมองตอนนี้คือ ""ช่วยย้ำให้ฉันมั่นใจอีกทีเถอะ คนดี"" #จกตา #Txrbo 💜 มูฟออนไม่ได้เลยจ๊ะ 

#ฟิคจ้าวศรี #อุ้มบุญOG",Loog_Tumcial
2020-09-13 07:10:58+00:00,"ป้ายลิเกใน ep6 ที่ยังไม่เปลี่ยนเป็น บดินทร์ เทพทองใน ep7 นะ
คือนักแสดงใน ep ยังเป็นรุ่นเด็กอยู่ คือใส่ผิดแน่นอนจาก ดวงมณี เป็น ผไท!!!
#จกตา
#วาสนารัก 
#วาสนารักep6
#วาสนารักep7 
#วาสนารักep8 https://t.co/OPhpZieI4V",saltnsourchips
2020-09-12 16:50:13+00:00,"ภาพแตกๆ มองไกล ยังเห็นว่าควรสลับกันไหม
นี่ดูเพราะจุฬามณี กับณิชา
#จกตา
#วาสนารักEP7
#วาสนารัก https://t.co/6k44r3B0nK",saltnsourchips
2020-07-25 17:22:44+00:00,"เอาจริงๆ ถึงมันมีทั้งคนที่ลังเล และคนที่มั่นคงในเส้นทางของความชอบตัวเอง
แล้วถ้าจะมีคนสับสนแล้วมันผิดแปลกตรงไหน

รสนิยม รู้จักมั้ยยู
ไม่เคยลังเลตอนเลือกซื้อของหรือสั่งข้าวตามสั่งหรอ เออไม่ต่างกัน 555555

#อย่าบอกนะว่าไม่เคย #จกตา",mymintymint
2020-07-25 13:02:08+00:00,"ถ้าปล้นเงินมันบ่ได้  ปล้นใจแม่งสะบ้อ  
#จกตา🌈🌈🌈🌈 https://t.co/9LovlllvEi",PongSarayuth
2020-07-24 11:00:28+00:00,"โดน air Asia แกงหม้อใหญ่มาก 😡😡😡😡😡
จองไฟล์ทไปหาดใหญ่ 6.40 เพื่อจะให้ทันเรือ ไปหลีเป๊ะ ถูกเลื่อนเป็น08.35  ละคือต้องหารถเหมาไปท่าเรือเอง หรือต้องรอ รถ11.00 ละไปต่อเรือรอบ บ่ายสาม ถึงที่ พัก 5โมงเย็น ควรทำยังไงดีกับมัน
#airasia
#จกตา
#หลอกลวง 
ต่อไปนี้ถ้าเลี่ยงได้ก็จะไม่บินมัน https://t.co/nlaF2CvOb7",AaonNP
2020-07-21 09:23:56+00:00,ยินดีด้วยค่ะคุณได้รับรางวัล #จกตา ยอดเยี่ยม 5555 จกตาประชาชนมากค่า ในสตอรี่ไม่ตรงกับเรื่องจริงเลยน๊าาา #โป๊ะ โป๊ะตึ่งโป๊ะ 5555555555,EnvyMe_wm
2020-05-27 15:35:52+00:00,"เวปปลอมอย่าไปเชื่อนะทุกคน
#หลอกลวง #จกตา https://t.co/aV2uZdwJtl",dongnpa
2020-05-16 19:06:37+00:00,ถ้าแค่ไปคุมอัดร้องเขาไม่เรียกตัวเองว่า Producer รึเปล่าค่ะ #จกตา 55555,OopifzEve
2020-05-05 03:53:53+00:00,ดูรีวิวตู้หนังสือ โคตร ไม่เหมือนอะ #จกตา https://t.co/nQBfwXQuOy,yui1991_
2020-04-26 07:44:49+00:00,คิดถึงตอนประกวดทิฟฟานี้แล้วตกรอบ!!ทีหนูร้องไห้สิ..น่าจะเข้าใจคำว่าบูลลี่ดี..ลองกลับมาจนอีกครั้งไหม?ทั่งกลุ่มจะได้เข้าใจความจน..ไม่มีงาน..ไม่มีเงิน..ไม่มีคนรู้จักอีกครั้ง..อย่าทำนาบนหลังคน..สถาณะการประเทศไทยแบบนี้จะเห็นสันดานคนทัศนะคติทีแท้จริงก็ตอนนี้แหละ #สร้างภาพ #จกตา #นัทนิสา https://t.co/5TS6ukZ9Ld,OporLadyBoy69
2020-03-29 18:04:18+00:00,พักก่อนจ้าอี่สก๊อย ทำตัวไฮๆสูดท้ายสันดารสก๊อย ask real #จกตา #สก๊อย,Sopeababyneem
2020-03-09 16:14:44+00:00,"พูดอะไรให้เพื่อนฟังก็เหมือนพูดกับหมาเดี่ยวมันก็เอาไปเห่าให้คนอื่นฟัง
#ความหลับ #จกตา",dlpdct
2020-03-06 09:12:50+00:00,"ระวังนะค่ะ เพื่อนๆๆๆก็โดนมาเยอะ #จกตา

เวียดนามยัง 900 ของไทย แพงกว่านิดเดียวแต่ คุณภาพนะคะ

#เจลล้างมือแอลกอฮอล์ #หน้ากากอนามัยพร้อมส่ง #ไวรัสโคโรนา #COVID19 https://t.co/Hr74I3Pok5",Sukanya55895151
2020-03-02 16:16:31+00:00,@iiDudes @PPRP_Unofficial ตัวไร๊ #มองจากดาวอังคารยังรู้เลยว่าตอแหล #จกตา,Raoult_boy
2020-02-11 07:18:07+00:00,"แอคติ้งรออิวาสนา เอาไปเขียนโพสต์น้ำตาลูกผู้ชายชาติทหารเหรอ  มีสปริตลาออกหน่อย!!! แมนๆดิเห้ยยย 
อ้อลืมไปลาออกไม่ได้ต้องอยู่ผลาญงบประเทศต่อ🙄🙄  #กราดยิงโคราช #แถลงทั้งน้ำตา #จกตา #ตอแหลข้ามชาติ https://t.co/jCJWhVvxgK",minakawa69
2020-01-31 10:37:46+00:00,มันคือท่า #จกตา,bella_angellla
2020-01-28 05:01:40+00:00,เจอแต่ข่าวเชี้ยไรก็ไม่รู้ที่ได้เงินเร็วแต่ติดคุก  และได้เงินเรื่อยๆเพราะเรียกร้องคะแนนความสงสาร    ถ้าไม่เป็นโจรปล้นร้านทองก็เป็นขอทาน   #ลวงโลก  #จกตา  #ปลอม  !!!!!! มันถึงยุคที่คนมีเงินเขาต้องมาทำอะไรแบบนี้กันแล้วเหรอ,AGustzZ
2019-11-20 02:31:55+00:00,สุดท้ายก็ไม่ได้ถูกอย่างที่คิด และสุดท้ายคนที่เค้าไม่สามารถจ่ายเงินทีละหลายๆพันเพื่อเที่ยวที่ถูกลง ก็ต้องจ่ายที่ละเที่ยวอยู่ดี #จกตา,chuichatchavee
2019-09-19 06:28:14+00:00,"#มาแล้ววววว #จกตา
ช้าอดหมดก่อน
รีบจัดเลย
ลิปแท่งล่ะ49฿
2แท่ง90฿ 
คุ้มสุดคุ้มมากๆ🌈💧
สีสวย กันน้ำ แท่งไล่สีสวยมากๆ ฮิตมากในวัยรุ่น🤟💰
มี2สีให้เลือก
222 แดงตุ่น
227 ส้มอิฐ 
#สนใจสอบถามได้
📮: จ-ศ
#ชวนเพื่อนมาหาร  
#สนใจทักแชทเลยค้าาาาา 
#ลิป #ลิปสติก   #เครื่องสําอาง  #แต่งหน้า https://t.co/Me17tc4ZMf",panne50396597
2019-06-26 12:44:41+00:00,"👑👑 #มงลง ไม่ #จกตา สบู่ #อาร์แกน คือบับดี๊ย์...ดี ตรงที่ล้างหน้าแล้วผิวชุ่มชื่น ไม่ตึงหลังการล้าง ลดสาเหตุของการเกิดสิว ลดเลือนจุดด่างดำ ส่วนผสมไม่ 🐓ไก่กานะจ๊ะ

กลิ่นแบบหอมสดชื่นนะจ๊ะ  
ขนาด 100 กรัม
ราคา 195 บาท https://t.co/LBhavsTzAO",reviewboktoh
2019-06-01 13:23:20+00:00,"เราสงสารคนอื่น คนอื่นจะสงสารเราไหม 555555555555🔥🔥
#ปลง #จกตา #ต้องเร็วนะคะ #บาย",B_____amber
