date,content,username
2023-03-30 15:14:37+00:00,ชิกิตา กับน้องแพรเก่งมาก เพลงdkwtd ก้คือเด่นจิง แบบชิกิต้าไลน์เต้นคือดือออ,MLxxxxwat
2023-03-30 15:13:44+00:00,คอมโพสดือ,mildmelomil
2023-03-30 15:13:32+00:00,@pailewws จริงมันดือมาก😭,hrt_ts
2023-03-30 15:12:43+00:00,"@rainsori93 @milephakphum @Nnattawin1 วันนี้มายอาโปดือมากกกกกกก ปังเว่อ ตัวแด๊ดตัวมัมสุบๆ เฟมัสหลาย!

MILEAPO IN MUMBAI

#DiorFall23xMileApo",Apoxmiya
2023-03-30 15:12:19+00:00,อยากกินไข่ดาวที่ดือ,TorogaranISMIN
2023-03-30 15:11:58+00:00,คือดือมากกกกกกกกกก น้ำตาติไหล https://t.co/xYLVQRCma2,saiinishakrnks
2023-03-30 15:11:16+00:00,"เวลาไม่รุ้จะพิมไรให้พิมเนื้อเพลง ดื๊อดือดื่อดื่อดึมดึ่มดึ๊มดึมมมม ดึมดื่อดื๊อดึมมมมมม แบบนี้ไปก่อน ห้าห้าห้า

MILEAPO IN MUMBAI

#DiorFall23xMileApo",lillyxcc
2023-03-30 15:10:14+00:00,สีผมแจยอนคือดือมากกก,mybabylove___
2023-03-30 15:10:02+00:00,แม่ค้าตอบไว ราคาดือ ชอบมากๆค่ะ ใกล้จะเป็นลคประจำแล้วค่ะ 🤣#review_whitediary https://t.co/yxSrPtxZGa,xqxqfx
2023-03-30 15:09:05+00:00,"@bibbbabbbubb @milephakphum @Nnattawin1 ลุควันนี้ดือเกินต้านจริงๆ
@milephakphum @Nnattawin1
#DiorFall23Xmileapo",iapoyourss
2023-03-30 15:08:40+00:00,"Trailer มาแล้วว ดือมากก 

ใครยังไม่มีบั้มเรายังรับพรีรอบไซน์น้า

🌷ยังทัน 20 order แรก
💚330฿ (มัดจำ 200/บั้ม)
💛50/70 (ถัดไป+10) 
💖การ์ดสเป (ถ้ามี)+ของแถม

#ตลาดนัดMAY #ตลาดนัดพัคจีฮุน

 https://t.co/i2M9TVUjlB",maymintt529
2023-03-30 15:08:32+00:00,ข้าวโพดดือที่สุดดด https://t.co/1EwSQmu5tw,byestqx2
2023-03-30 15:07:58+00:00,อมกรุปโดแจจองดือมากกกก,lleblleblleb
2023-03-30 15:07:48+00:00,กลิ่นสุดท้ายหลังฉีด Base Note ที่ดือ😭,iadoreu9600
2023-03-30 15:07:11+00:00,โดแจจองรูปรวมคือมู้ดดือมาก,NeilSt_dy
2023-03-30 15:07:08+00:00,"ชอบสองรูปนี้มากคือดือคือดี
THE SCENT NOTES D3
#DOJAEJUNG_BaseNote https://t.co/Ut2Ust6PWB",jj_213826
