date,content,username
2023-03-30 15:20:58+00:00,"📣รีแต่โพสต์แจก ไม่ได้เด้อ ว่างอีก 8 ที่ครับ
#ทรงนักบิดสิงห์นักปั่น แจกจริง🧧🧧🧧",Nakbet168
2023-03-30 15:18:19+00:00,"ฮ่าจัด ioจีนเขาทำงานขยันเนอะ ชอบบิดเบื้อนจริงๆโดนเขาตอบกลับว่า
ที่สี มึงเยือน เจอกับ ผู้ก่อการร้าย โจรได้เลย ทำไมเขาจะเยือนไม่ได้555เจ็บดอกนี้ มึงมีสิทธิ์อะไรไปห้ามเขาไปไหน เขาจะไปไหนมันก็เรื่องของเขา ใครก็ตามก็มีสิทธิ์เสรีภาพกันทุกคน
#Taiwan #Ukraine #ยูเครน",Popp16876900
2023-03-30 15:17:46+00:00,@meVnus ตัวหัวฉวยโอกาสนี้ บิดให้ กก เป็นเผด็จการซะเลย แล้วก็เฮกันเองในแก๊งนางแบก คนอื่นมองแล้วได้แต่งง มาเอาไร,every4_am
2023-03-30 15:16:36+00:00,@CookieT94569732 บิดทีกร๊อบแกร๊บน่าดู,userjongggg
2023-03-30 15:15:32+00:00,@i_nonorsor หุ่นของสาวแส่บ บิดไปทางไหนก็ไม่มีไขมันส่วนเกิน,Txryn_S
2023-03-30 15:14:20+00:00,"เสนอราคา / offer price 

• เริ่มต้น start from 800 บาท 
• บิด/เสนอราคา ลงท้ายเลข 0
• เสนอราคา dm only อัพเดทยอดในเมนชั่น

🚫 ปิดการเสนอราคา เวลา 23.00  
#ตลาดเด็กหลง #ตลาดนัดstraykids https://t.co/rPkXR9nH0z",staytaya
2023-03-30 15:13:47+00:00,ชั้นเหน่ยมาก แค่กระโดดบิดเอวสองสามที,chouxcremelody
2023-03-30 15:13:36+00:00,@9zenxray โห บิดกว่าเดิม,P4QHM_B3
2023-03-30 15:11:52+00:00,"""💞เว็บมาแรงสุดในตอนนี้💞
👇👇สนใจสมัครคลิกเรย👇👇
ลิ้งค์เว็บ https://t.co/eHMlCRA7gZ
💥แตกหนัก 💸จ่ายหนัก
✅สมัครตอนนี้รับโบนัสฟรี 50 บาท
✅แนะนำเพื่อนรับ 9%
✅ระบบแนะนำเพื่อนสร้างรายได้ 0.6% ตลอดชีพ
#แจกเครดิตฟรี #เครดิตฟรีล่าสุด #เครดิตฟรีไม่ต้องฝากไม่ต้องแชร์ #สล็อตแตกง่าย https://t.co/wGdK1XSvaF",Nakbet168
2023-03-30 15:11:14+00:00,ขอเป็นคนท็อกซิกให้หมีบิดลีคให้หมด,ydnaccrazyr
