date,content,username
2023-03-30 15:25:24+00:00,"เงี่ยนอ๊าาา💦🥵🥵 🆔bammmy20 ทักมา
#คอลเสียว #ครางเสียว #รับคอลเสียว https://t.co/R28j01yTNH",BaemBud97694
2023-03-30 15:23:03+00:00,แก้ปันหาได้บูด คนบ้านไกลจะไปทำไรตั้งแต่เช้าอะ พี่ว่าการที่หนูต้องไปกลับมันง่ายเหรอ😭🙏🏽,juneoncnine
2023-03-30 15:21:45+00:00,ว้ายยยยยยยยยยยยยย บูดดดดดดดด มีกลิ่นนนนนน,muumaikinphak
2023-03-30 15:18:31+00:00,"ทึเมอต.บอกอยากมาคอนไทยหรอ
พี่สาวค่ะ ประเทศไทยร้อนก็ร้อน รถก็ติด น้ำขังก็เหม็น ผู้จัดก็บูด นายกก็ยังบูด หนูกลัวพี่สาวมาแล้วได้กลิ่นบูดเยอะนะ",iam_teume12
2023-03-30 15:18:28+00:00,เน็ต ais บูดไม่ไหวแล้วอีดอกมันจะมีวันดีขึ้นไหมวะ,Whawbn_
2023-03-30 15:17:49+00:00,@tanawatofficial ลาออกง่ายกว่า ผลงานมีอะไรอ่ะนอกจากกัญชาแล้วก็ต้อนรับนททจีน  นอกนั้นบูด ไร้ประโยชน์,preww20
2023-03-30 15:17:23+00:00,เงี่ยนๆทักไลน์มา bammmy20 #เงี่ยนหี #เสียวหี #อยากโดนเลียหี #อยากโดนเย็ด #เซ็กส์โฟน #คอลเสียว https://t.co/IGycnNnMqq,BaemBud97694
2023-03-30 15:15:36+00:00,@just_minv กลัวนิ้วบูด555,noonnnnn_286
2023-03-30 15:12:02+00:00,@ssomsom_s ตัวดีๆมันก็มีแหละพี่ส้ม แต่คนที่ดีส่วนใหญ่เขาก็ออกตอนปีสามปีสี่กันทั้งนั้นอะ เพราะรับอะไรพวกนี้ไม่ค่อยไหว วงการมันบูดดดด,miese0nqtie
2023-03-30 15:11:23+00:00,ตลาดปัฐวันนี้หนุกเว่อ แต่ร้อนเกิน บูด,yourangel10n
2023-03-30 15:10:39+00:00,"อีกอย่างคือดีที่เรื่องนี้ไม่มองความ ""ตะวันตก"" ว่าเป็นภัยแบบบุพเพ 2 อันนี้บูดมาก ยุค ร.3 มี material ดีๆ ให้ใช้ กับไปติดวาทกรรมชาตินิยมตกขอบซะงั้น",LittleBrightey1
2023-03-30 15:09:36+00:00,@aerthachannel ชำแหละ ‘ความบูด’ วงการแพทย์ไทย | The MATTER https://t.co/P4bxPyUuwj via @YouTube,wathapong
