date,content,username
2023-03-30 15:08:03+00:00,@YinYinYangYang1 มึงพี้กันชาแล้วปสด.กุยังไม่พูด บ้ง!!!🤣🤣🤣,SAURON_Head_OF
2023-03-30 15:06:14+00:00,บ้ง โป๊ะแตก ดิ้นแล้ว1🤣🤣🤣,SAURON_Head_OF
2023-03-30 14:14:05+00:00,สรุปเน๊ตไม่บ้งแต่3plus บ้ง  #ใต้เงาตะวันep2,Mayladass
2023-03-30 10:52:50+00:00,@PEOPLESOLID @thalugazzz เวลาเห็นอะไรแบบนี้ ก็ตลกดีเหมือนกันนะ เค้ารู้หมดเลยใครตะกายขึ้นไป ใครยืนมองอยู่ข้างล่าง กลุ่มเดิมๆ หน้าเดิมๆ เอ้า เปิดรับบริจาคล่วงหน้าให้ไอ้น้ำแตกด้วย #อะไรที่ไม่ได้เห็นก็จะได้เห็น #บ้ง 🤣😂🤣😂🤣,ChrisyZen
2023-03-30 10:33:38+00:00,บ้ง,a1shavv
2023-03-30 10:07:09+00:00,ไม่รู้ดิตร.บ้ง นี่ว่าด่าเป็นเรื่องๆไปก็ได้นะ อันนี้คอมมอนเซนส์อะ เรื่องง่ายๆ เขาไม่โง่ขนาดนั้นหรอกมั้ย555555,babytouchmysky
2023-03-30 09:51:49+00:00,คนในทวิตชอบทำตัวเหมือนเป็นคนมีภูมิ รู้กาลเทศะ แต่ในชีวิตจริงนั้น บ้ง ลืมแล้วว่าทวิตอะไรไปบ้าง,missuialreadydo
2023-03-30 08:09:02+00:00,@0nyourtam พิมมายาวมาก​ สรุป​ บ้ง,pentor3804
2023-03-30 07:01:46+00:00,เซเว่นควรอบรมมารยาทการบริการที่ดีให้กับพนักงานขององค์กรตัวเองบ้างนะคะ บ้ง,ppplppii
2023-03-30 06:36:53+00:00,ทำ100 อย่าง บ้ง98 อย่างไปแล้ว,IiiBe12
2023-03-30 05:19:56+00:00,บ้ง ไม่ชอบ https://t.co/UbQyUXFgAE,smile_of_youu
2023-03-30 05:15:35+00:00,"บ้ง
https://t.co/6i4ptZRqTI

#มิวนิษฐา
#ใหม่ดาวิกา 
#มิ้นต์ชาลิดา",Qthewindhunt
2023-03-30 03:19:40+00:00,ม่อนแจ่ม True = บ้ง แม่แจ่ม True = บ้ง ดอยอินทนนท์ True = บ้ง,sj_semaj
2023-03-30 02:32:56+00:00,บ้ง,Chilly_mp15
2023-03-29 19:01:12+00:00,บ้ง,d4isiediarie
2023-03-29 15:33:55+00:00,ที่พวกแกทำอยู่ก็ไม่ต่างอะไรกับซาแซงเลยจ้า บ้ง บูดดดดดดดดดดดด,paipaimommyluvu
2023-03-29 14:21:42+00:00,@AMPM0014 @GraphicVCT @Borntobekaree บ้ง ?,Jason4541
2023-03-29 12:29:23+00:00,@Stylexol2 @thalugazzz มรึงจะด่าเสี่ย ด่าหีแตดแม่มรึงไม่มีใครไปสนใจหรอก 5555555 ฝากให้คิดเรื่องอะไร 112 เหรอ พอดีกูก็ไม่เอาเหมือนกัน ไอ้ควาย แต่มันเปรอะ เลอะ คิดว่าทำแบบนี้เป็นการสร้าง movement สร้าง awareness ถถถ เพราะคิดได้แค่นี้ ทำได้แต่ป่วนให้คนรำคาญ มันถึงเสื่อม เสียแนวร่วมไปเรื่อยๆ #บ้ง,ChrisyZen
2023-03-29 10:56:59+00:00,@julyarrie_ 55 ฮาว่ะ แค่ติดใช้ Hash แบบเดียวกับแม่มุงใช้ อีเจี๊ยบ กลายเป็นแก่เบย 🤣😂 อ่ะก็อายุน่าจะเยอะกว่าทั้งสมงสมองด้วยอย่าลืมแทงสวนมูฟเมนต์ต่อไปเนอะติ่ง #บ้ง,ChrisyZen
2023-03-29 08:41:33+00:00,@notafunnykiid รักวัวให้ผูก รักลูกอย่าให้คบกับผช.บ้ง,sathayay
2023-03-29 06:51:23+00:00,@umetmeinoctober บ้ง พบแพทย์มั้ยคะพี่,MeaA36612854
2023-03-29 05:44:35+00:00,บูด บ้ง,inspyration88
2023-03-29 05:43:55+00:00,บ้ง บูด ไม่พัก ล่าสุด รับบทโดนแฮ็กล่ะ 1 เหอะๆ หล่อนเป็นอะไรมากป่ะ😡😡😡😡,AkaKampila
2023-03-29 05:26:42+00:00,"นี้บูดจริง หาแสงแบบตะโกนอะ คือบอกเลยตรงๆว่ากุหาแสงนะ บ้ง บูด 
ต้องให้ถึงโรงถึงศาล ถึงจะพอใจ?????   @eileen5995 https://t.co/bX0kaSi5Mg",sunandsunflow
2023-03-29 05:26:12+00:00,"""โดนแฮกค่ะ"" อย่ามาพูดแบบนี้ออกสื่อนะหญิง บ้ง",jaaaaaa85169668
2023-03-29 05:26:07+00:00,อีนี่ บ้ง,itswaratin9
2023-03-29 05:23:39+00:00,อันนี้เหี้ย บ้ง สภาพ จะอ้วกค่า,gracezytx
2023-03-29 05:20:34+00:00,บ้ง,Lovelu00301501
2023-03-29 05:00:26+00:00,บูด บ้ง บังชาวบ้าน #ปลอกแท่งไฟ,whatuantwhatuw
2023-03-29 04:52:13+00:00,555555555555บ้ง,ZXnoby
2023-03-29 03:24:51+00:00,บ้ง*,beephsn_
