date,content,username
2023-03-16 02:08:25+00:00,@xorabbitch คนที่รับทุกชั่วโมงจน 7:30 ก็ยังโดน #มองแรง,manememaime
2023-03-14 00:00:01+00:00,"#มองแรง นกฮูกในภาพเป็นลูกนกฮูกสายพันธุ์ Northern saw-whet owl หนึ่งในนกฮูกที่เล็กที่สุดในเมริกาเหนือ โตเต็มที่ยาวเพียง 17-22 เซนติเมตร หนักเฉลี่ย 80 กรัม มักจะทำรังอยู่บนต้นสน หรือต้นไม้ที่มีการผลัดใบ พวกมันเป็นนกฮูกที่ชอบส่งเสียงร้อง
#มีสารคดีระดับโลก https://t.co/IYuNNEHa1G https://t.co/KpVlklWlJW",samrujlok
2023-02-04 06:51:25+00:00,@zhangah_k พิแดนเกียมเสื้อตัวใหม่ให้นุข่วนได้เลยค่ะ #มองแรง https://t.co/5S2BHExga4,yngyoong
2023-01-02 10:08:22+00:00,#มองแรง นกฮูกในภาพนี้นี้เป็นลูกนกฮูกสายพันธุ์ Northern saw-whet owl นกฮูกที่เล็กที่สุดในเมริกาเหนือ โตเต็มที่มีขนาดเพียง 17-22 ซม.หนักเฉลี่ย 80 กรัม ทำรังอยู่บนต้นสน หรือต้นไม้ที่มีการผลัดใบ เป็นนกฮูกที่ชอบส่งเสียงร้องโดยเฉพาะในช่วงเมษายนถึงเดือนมิถุนายนซึ่งเป็นช่วงหาคู่ของพวกมัน https://t.co/Lrwi1fC3ha,samrujlok
2022-11-07 23:56:00+00:00,"#ธรรมะสวัสดี702
อย่าคิดแทนได้มั้ย คิดแทนขนาดนี้ ซื้อต่อไปเลยมะ...สมอง จะเป็นอัมพาตอยู่ละ 
#บขขตท #มองแรง #เรื่องส่วนตัว 
@peckpalit
#เป๊กผลิตโชค ✅ #PECKPALITCHOKE ✅ https://t.co/bfIxli13Ns",p_pimsri1
2022-10-25 17:04:43+00:00,"กูผู้ถูกมองว่า มีเงินตลอดเวลา ทั้งที่จริงๆ สถานะการณ์การเงินกูเข้าขั้นขอทานแล้ว
#มองแรง https://t.co/GkOqCgxShW",Toon_Tao
2022-10-19 12:30:01+00:00,#มองแรง เสือดำ เกิดจากความผิดปกติในเม็ดสีที่เรียกว่าเมลานิซึม ส่งผลให้เสือที่เกิดมานั้นเป็นสีดำตลอดทั้งลำตัว โดยที่ยังมีลายหรือลายจุดคงอยู่ แต่จะสังเกตเห็นได้ยาก จะเห็นได้ชัดเจนเมื่ออยู่ในแสงแดด พบได้ในเสือดาว เสือจากัวร์ เสือพูม่า เสือไฟ เซอร์วัล รวมไปถึงเสือโคร่งด้วยเช่นกัน https://t.co/IjbPutI0Qx,samrujlok
2022-09-25 07:05:37+00:00,เธอไม่อ่อนโยนกับเราเลยนะ ชิ เชอะ ชะ #มองแรง https://t.co/Os4pcG8cHQ,Black_1688
2022-09-05 13:32:07+00:00,#มองแรง จะเทกรูเร่อะ👋,Khundao21
2022-09-05 05:00:00+00:00,#มองแรง นกฮูกในภาพนี้นี้เป็นลูกนกฮูกสายพันธุ์ Northern saw-whet owl นกฮูกที่เล็กที่สุดในเมริกาเหนือ โตเต็มที่มีขนาดเพียง 17-22 ซม.หนักเฉลี่ย 80 กรัม ทำรังอยู่บนต้นสน หรือต้นไม้ที่มีการผลัดใบ เป็นนกฮูกที่ชอบส่งเสียงร้องโดยเฉพาะในช่วงเมษายนถึงเดือนมิถุนายนซึ่งเป็นช่วงหาคู่ของพวกมัน https://t.co/hO00PXVe1n,samrujlok
