date,content,username
2023-03-30 15:23:41+00:00,@haqxxxxx ไว้เจอกันอี๊กก🤍,BanyJimin
2023-03-30 15:01:53+00:00,ผู้ที่มีเทพอินาริเป็นเทพอารักษ์ จะเป็นบุคคลที่แจ่มใส สดชื่น เป็นกำลังคอยช่วยเหลือผู้อื่น และนำพาท้องฟ้าที่สดใสมาสู่งานต่างๆ และการเดินทาง แต่จะไม่ใช่คนที่เป็นผู้นำ เป็นผู้สนับสนุนที่ดีมากกว่า,ShamanKING644
2023-03-30 14:59:10+00:00,ซึ่งบุคลิกถาพขอฃหนุ่มสาวฟ้าใส และหนุ่มสาวเรียกฝนจะแตกต่างกันไป หนุ่มสาวเรียกฝนจะเป็นบุคคลที่มั่นใจในตัวเอง เป็นผู้นำ ตัดสินใจอะไรฉับไวทันทีเด็ดขาด แก้ไขปัญหาเฉพาะหน้าพลิกแพลงได้ดี และมีความคิดสร้างสรรค์อะไรใหม่ๆ และค่อนข้างจะหัวดื้อทำอะไรตามใจ,ShamanKING644
2023-03-30 14:58:00+00:00,หนุ่มสาวเรียกฝน จะตรงข้ามกัน คนที่เรียกฝนคือคนที่ได้รับอารักษ์จากเทพมังก “ริวจิน “อันเป็นเทพแห่งน้ำ ริวจินเทพมังกรผู้ควบคุมน้ำ ฝน และท้องฟ้า ซึ่งผู้ที่รับพลังอำนาจของมังกรเป็นเทพอารักษ์เพื่ออำนวยให้เกิดฝนตกต้องตามฤดูกาล และยับยั้งฝนที่มากเกินไปด้วยพลีกรรมต่างๆ,ShamanKING644
2023-03-30 14:55:00+00:00,หนุ่มสาวฟ้าใส คือบุคคลที่สามารถสื่อถึงเทพอินาริโอคามิได้ เทพอินาริ ซึ่งมักจะเห็นบ่อยตามศาลเจ้าที่มีโทริอิสีแดงและมีจิ้งจอกเป็นสัตว์อารักษ์หน้าศาล เป็นเทพเจ้าเก่าแก่ของญี่ปุ่นผู้พิทักษ์เกษตรกรรม พาณิชยกรรม และการค้า ซึ่งมีศาลเจ้าสาขามากที่สุดในหมู่เทพเจ้าทั้งหมดของญี่ปุ่น,ShamanKING644
2023-03-30 14:12:38+00:00,ในความเชื่อชินโต “เทนคิ” หรือกระแสแห่งฟ้า คือคำเดียวกันกับ “เทียนชี่” มีคำกล่าวว่าเคยสังเกตไหมเวลาตัวเองเดินทางไปไหนฝนก็ตก หรือบางคนไปไหนก็แดดจ้า บางคนอาจจะคือ ฮาเระอนนะ(สาวฟ้าใส) 🌞หรือหนุ่มฟ้าใส(ฮาเระโอโกโตะ) หรือบางคนคือสาวเรียกฝน (อาเมะอนนะ) 🌧️หรือหนุ่มเรียกฝน(อาเมะโอโกโตะ),ShamanKING644
2023-03-30 13:46:47+00:00,ได้กลิ่นพลังงานแห่งความเปลี่ยนแปลงอีกแล้ว ละคือช่วงระยะเวลา Awaken ในปีที่ผ่านส่งผลต่อเนื่องให้ปีนี้ต้องได้เข้าสู่เส้นไทม์ไลน์ของการ Action ในสกิลที่ได้รับมาและพัฒนาไปสู่ Life path ที่แท้ทรู ช่วงต้นปีแบบนี้พลังงานยังไม่นิ่ง นี้ว่าคือถ้าคิดว่าจะทำอะไรทำเลย จะหยิบจะจับ อย่าไปหยอง,ShamanKING644
2023-03-30 13:43:07+00:00,มู รับรู้เเล้ว ว่าตัวเองชื่อมุ ย่อ มาจาก หมูหวาน ^^,sarangts12
2023-03-30 13:01:49+00:00,"รักนะเว้ยยยยยย
#เจมิไนน์โฟร์ท 
#คุณหนู https://t.co/RlxkcmmCZ3",BanyJimin
2023-03-30 09:32:28+00:00,มาค้าบ🥹👋💖 #BodyGlovexGeminiFourth,BanyJimin
