date,content,username
2023-03-30 15:42:29+00:00,ขอข่าวจริง ไม่เอาลือ เบื่อ ลำไย,pakangjaja
2023-03-30 15:37:02+00:00,พี่ละอยากกดมิ้วให้หมด ลำไยเว่อออออ,babybpink211
2023-03-30 15:23:58+00:00,จะไปฮ้องอ้าย มันบ่าเปิง ฮ้องลุงปู้นเปิงเหลือ   ทักมาถามราคาลำไยจะตอบหื้อ ทักมาถามอย่างอื่น ลุงขอบ่าตอบเด้อครับ ลุงอิด ลุงเฒ่าแล้ว #ลำพูน #เชียงใหม่ https://t.co/jjgG9nw5p0,11sofine
2023-03-30 15:20:21+00:00,โหวตนางหยางออก เด 7 คน จบ ลำไยนางไม่ไหว,pd175cm
2023-03-30 15:19:51+00:00,@MXTISQ เมคอะไรดีคะเดมมาเมคหรือแลกฟอลเล่นหน้าทลกันก็ได้นะคะ,S0M4Z
2023-03-30 15:19:41+00:00,@sangnueaq มาเลย,S0M4Z
2023-03-30 15:18:08+00:00,@yourxkunn เป็นไน,S0M4Z
2023-03-30 15:18:00+00:00,@1001_alisha กอดเยอะๆ,S0M4Z
2023-03-30 15:15:25+00:00,@cyszalisx ลงยัง,S0M4Z
2023-03-30 15:09:33+00:00,โอ๊ย กูลำไยบท alchemy of souls พาร์ท 2 มาก ทั้งยืดทั้งแถ ไม่เข้าใจ คือนักซูคงไม่อยากให้จางอุคใจสลายรอบ 2 แหละ แต่มันใช่เรื่องไหมเนี่ย,decemberkidx
2023-03-30 15:08:05+00:00,@Melmyy__ct จริงๆแล้วเป็นนางฟ้า,S0M4Z
2023-03-30 15:05:29+00:00,อยากเล่นบ้างอุ https://t.co/Mv2drnCgW4,S0M4Z
2023-03-30 15:03:11+00:00,@T13ZDXSMZ137 เหมา,S0M4Z
2023-03-30 15:02:51+00:00,@_Cherlyne โอ๋ๆมากอดนะ,S0M4Z
2023-03-30 15:02:27+00:00,รู้แมะ ตั้งแต่ขุนพันธ์3 เป็นเรื่องสุดท้ายที่ดูเมเจอร์ทั้งที่มันอยู่ข้างบ้าน นี่นั่งรฟฟไปดู sf อ่ะ ลำไยอีนายทุน 🙄,hari_aom
2023-03-30 15:00:22+00:00,@_Cherlyne ไม่กอดแอคที่ไม่ชอบกินยา,S0M4Z
2023-03-30 14:59:58+00:00,ลำไยเว่อต้องlogin เข้าระบบใหม่ทุกappละบสงอันเข้ายากเหลือเกิน,sefontt
2023-03-30 14:58:11+00:00,@JAYXNCTT นุชอบพิ่นะคะ,S0M4Z
2023-03-30 14:57:34+00:00,@_Cherlyne ไม่อะอิอิ,S0M4Z
2023-03-30 14:50:08+00:00,อิสัดอังกาดไม่ได้ที่1หรอก กอดให้กำลังใจที่ไม่ชนะมากกว่า อิเหี้ยนี่ชอบตัดแกงหลายรอบละ ลำไย,xtvmas
2023-03-30 14:45:07+00:00,@j6apxpk เหมา🥺🫶🏻,S0M4Z
2023-03-30 14:31:16+00:00,แต่มันจะคนละฟีลนะจริงนะ ละเนื้อลำไยแห้งที่ต้มออกมาก็ไม่ได้อร่อยแบบลำไยสด ละนี่ว่าน้ำลำไยสดนี่รสชาติอ่อนแต่หอมกว่านิดนึง,235N235S
