date,content,username
2023-03-30 15:53:06+00:00,@Cavelyshim ป่าวค่ะๆ คือว่า มีคนในทวิตเค้าแซวเฉยๆค่ะพี่ เพราะว่าตอน Girls Planet 999 เดบิวท์ชื่อวงว่า Kep1er (เค็ปเล่อ) ค่ะ  พอเป็นผู้ชายเลยเป็น เบ๊บเล่อ แทนค่ะ น้องเลยขำ 🤣🤣🤣,Princesand_0425
2023-03-30 15:53:05+00:00,ชีน้องแทยงเขาตามเทรนนะจ้ะ ถ่ายรูปกล้องหน้าหน้ากระจกแบบสับ เจ้าหนูอะตอมของแม่แม่ https://t.co/ukvALDRZsk,01_7_95
2023-03-30 15:52:27+00:00,"เรียน @SMTrueThailand
 
เนื่องจากสถานที่จัดคอนเสิร์ต Red Velvet 4th Concert : R to V in BANGKOK มีขนาดที่เล็กเกินความต้องการ จึงเกิดกระแสการเรียกร้องของแฟนคลับ เพื่อให้พิจารณาสถานที่จัดคอนฯอีกครั้ง

BIGGER VENUES FOR R TO V
#RedVelvetDeservesBetter
#ลัฟวี่ไม่เอาธันเดอร์โดม",aimdera
2023-03-30 15:52:24+00:00,ห้ามทักขี้เกียดหยิบโทสับขึ้นมาตอบ,rarararinroro
2023-03-30 15:52:12+00:00,มุมมองพวกเราอ่ะ คือทำงานเพื่อเงินเว้ย จะเอาอะไรมารักองค์กร อะไรที่มันไม่สมเหตุสมผล จะยอมทนโดนโคกสับทำไมไรงี้ .. พี่แกก็สวยมาแบบ การทำงานเกินเวลายิ่งดี ทำงานหนักยิ่งประสบความสำเร็จได้ไว ลำบากเท่าไหร่อดทนได้มากเท่าไหร่คือเก่งมาก พอมาถึงตรงนี้แล้ว (ต่อ),ignore121231212
2023-03-30 15:52:11+00:00,ผมที่พยายามเคลียร์รูปในโทสับ แต่พอเห็นรูปแจฮยอน *กดตุ่มเซฟ*,zfglovenctz
2023-03-30 15:52:05+00:00,ทำไมมันไม่ให้มีสเตจเพลงนี้🫠 อยากเห็นเมนแรปสับๆอยู่ด้วยกัน https://t.co/c5qbzOKrkg,pxsyjs_
2023-03-30 15:51:31+00:00,"เธอน่ารัก เธอสดใสแต่เธอเป็นสลิ่ม
แม่งเง้ยยยย!!! กุแบบทำม้ายยยย ต้องมีอะไรผิดพลาดตรงไหน",snamrrom
2023-03-30 15:51:02+00:00,สุดยอดปะไม่ใช่แค่รองเท้าแต่ชุดต้องได้ สับโจทย์แตกยับ หาชุดเข้ากันไม่ได้ก็ไม่มาหรอกค่ะ ตัวแม่เซ้นส์แฟชั่นล้านล้านล้าน https://t.co/jS9A21TOeW,Nananana__J
2023-03-30 15:50:56+00:00,@Ying10771093 ใช้ดีสับๆ,forfon15
2023-03-30 15:50:55+00:00,"โปรไฟล์เริ่ดอยู่นะ สวยสับตัวแม่ ตัวมัมกันทุกคน สวยมากกกกกกๆๆอะ😭😭😭😭😭😭😭 
#BABYMONSTER https://t.co/U4gLj0Yk42",babym0n8
2023-03-30 15:50:47+00:00,สับมามองกล้องนี้ไวมาก เก่งๆๆ 🥺 https://t.co/gkqNpezhk0,cuddlejamm_
2023-03-30 15:50:39+00:00,อย่าเข้าใจผิดจ้าเอารูปโบกี่ไลอ้อนขึ้นโทสับไม่ใช่จะเปลี่ยนใจ เราแค่อยากสวยเหมือนเขา จบเนอะ,champoohx94
2023-03-30 15:50:11+00:00,@tmrwith17 ชื่อแบบสับแบบใหม่5555,babywaterrie
2023-03-30 15:50:00+00:00,ฮิโรโตะคือสับสับเก็บเรียบหล่อมากลูก,BlueFilling
2023-03-30 15:49:58+00:00,เมื่อก่อนทอสับไม่มีกล่องหน้า ก้กล้องหลังเลย กว่าจะได้องศาที่ลงตัว แต่พอมีกล้องหน้าก้ไม่ได้เซลฟี่บ่อยอะไรขนาดนั้น เอ้อ 555555,lionkeyy
2023-03-30 15:49:33+00:00,แคปจากโทสับเครื่องนึง กับโทสับอีกเครื่อง แอ่นด๋อยมันกวนตีงปะ https://t.co/m51v2j1MZ4,runtou__
2023-03-30 15:49:22+00:00,ปิมไม่มีทอสับใช้ป่านร้อนใจกว่าปิมอีกงงอร่าคิดถึงอะเด้,bunbunnp
2023-03-30 15:48:45+00:00,เเล้วตังที่กุขายโทสับเอาคืนมาได้มั้ยก้อไม่,aquickonetw
2023-03-30 15:48:13+00:00,ถอยโทสับใหม่เรียบร้อย เรานี่มันใจถึงจริงๆอยากได้กุก็ต้องได้  ไม่มีอะไรมาหยุดสาวน้อยมหัศจรรย์คนนี้ได้จริงๆฮะ https://t.co/00VOYRKrsQ,Pokeponnn
2023-03-30 15:48:09+00:00,@_KinoKat คอรเป็นรุ่นพี่ซามูไรที่ซมไม่อยากยอมรับเพราะติดเล่น ชอบทำเหมือนซามูไรเป็นเรื่องเล่นๆ จนวันนึงซมรับหน้าที่ปกป้ององค์หญิงเมืองนึง แต่แล้วเจอพวกสับตุอริมาจ้องเล่นงานละจะแย่งชิงตัวองค์หญิง คอรบังเอิญอยู่แถวนั้นละเข้าไปช่วย ซมเลยมองคอรใหม่แบบแอบชื่นชม แต่ไม่ชอบสักหน่อยนะ เหม็นหน้าจะแย่,ongying_bbg
2023-03-30 15:48:07+00:00,เริ่ดเกินอ่ะเขาคิดมาหมดแล้วนะองศาแบบนี้อ่ะ https://t.co/3mF7jzCEBF,aimdera
2023-03-30 15:47:54+00:00,เท่าที่ดูมาน้องแพรเหมือนสับสวิตช์ได้ ตอนอยู่เฉยๆคือโหมดประหยัดพลังงาน แต่พอเทิร์นออนละก็คือสับๆๆ เออ ก็ดีนะ วิถีตัวมัม ประหยัดแบต เริ่ดมั่ยเริ่ด,swttrigg
2023-03-30 15:47:37+00:00,@nnthiabart ทอสับหายค่ะ เส้าเว้อ,jaybimxxj
2023-03-30 15:47:25+00:00,เนี่ยถึงอยากให้มันขึ้นสเตจโชว์ญปเยอะๆแบคกิ้งแท้กเบามากจนแทบไม่มี กล้องตัดสับๆหลายมุม,ddd06885679
2023-03-30 15:47:14+00:00,น้องอินจุนเสียงหวานมาก น้ำตาลขึ้นทอสับละ,synsynna
2023-03-30 15:46:43+00:00,"ทรินิตี้เหมือนภาพวาดที่มีชีวิตอ่ะ
กระดาษต้องเป็นนาโนมีความยืดหยุ่นด้วยนะเพราะเต้นสับยับไม่แพ้บาลิ 555

#DropDead_MV
#BALLISTIKBOYZ
#TRINITY_TNT
#BALLISTIKBOYZxTRINITY
#SoundCheckxBBZxTRINITY
#BBZxPCFwithLoveTH",t4tsuk1
2023-03-30 15:46:33+00:00,กล้องตัดสับๆสมเป้นญป555555,ddd06885679
2023-03-30 15:45:51+00:00,แม่งแล้วทอสับกุมีแต่กริ่นหมูทะ ซักได้มั้ยอยากถาม,tklnwza127
2023-03-30 15:45:44+00:00,@BamBam1A แร็พแบบใหม่แบบสับปังไม่ไหว😂😂😂,Mint10655830
2023-03-30 15:45:09+00:00,ไอเด็กคนนี้แอบเล่นโทรสับแม่ https://t.co/SePG5THbkA,cutejung_
2023-03-30 15:45:04+00:00,ในฐานะอาร์มี่ ขอสารภาพบาปเลยว่า… ตามงานบังทันไม่ทันแล้วค่าาาา เอากูไปประหาร กูมาฝันอาร์มี่ปลอมอิดอก ขนาดมือจับแต่โทสับกูยังไม่ทันเลย เฟชไทม์ไลน์จนเวียนหัว วิต่อวิจริงๆ 😭,NMansuga95
2023-03-30 15:45:03+00:00,บิลลิแมสมาก2วัน 10ล้านแล้วตัวแม่สับๆ,still__a1ive
2023-03-30 15:44:57+00:00,"@noeimrk_ แบบปังแบบสับทั้งมายอาโปทั้งดิออร์และศรีจันทร์ค่าาาา

MILEAPO IN MUMBAI 

#DiorFall23xMileApo @milephakphum @Nnattawin1 https://t.co/dP19D4KMqb",apo_mamii
2023-03-30 15:44:52+00:00,คถเพลงแนวกู้ดทูมีอะ น้อยแต่มาก สับๆ,myboo_hani
2023-03-30 15:44:40+00:00,เอ็นเฟียทั้งโลกตามหาพี่ย้อบละ ทำตัวปริศนา จริงๆสับขาหลอกจ้า อยู่หน้ากรม,Vvillaintidote
2023-03-30 15:44:37+00:00,3. คนที่หวังพึ่งSponser : มันมีโอกาสได้ไหม มี แต่คุณจะไม่มีสิทธิ์ลาออกหรือเปลี่ยนงานได้เลย และหลายคนโดนขูดสับ โดนกดค่าแรง โดนให้ทำงานหนักกว่าคนอื่น แล้วลาออกไม่ได้ด้วย ถ้าลาออกต้องจ่ายค่าปรับเป็นแสนๆอะ เอาจริงๆ เหมือนติดคุกอยู่นะ เราถึงบอกไงถ้าเลือกได้ มาด้วยตัวเองเถอะ,greatzyincanada
2023-03-30 15:44:33+00:00,นี่ก็คิดเหมือนกันว่าอยากจ้างคนมาออกแบบห้องให้ อยากได้เข้าชุดละตอบโจทย์การใช้งาน รู้สึกว่ามันยากอะ สร้างบ้านในซิมเรายังอิเหละเขะขะ,Melody89467628
2023-03-30 15:44:33+00:00,ลางานเท่านั้น https://t.co/vnULtCDbmw,bububaba_11
2023-03-30 15:44:30+00:00,@qcoutw สับหน้ามึงอะ,nameishandsome9
2023-03-30 15:44:20+00:00,เกาหลีมีหนิงหนิง ไทยแลนด์มีต้าเหนิง จริตปังสับสิบสิบสิบ ไม่ใช่มองตามกล้องแต่กล้องมองตาม อันนี้สวยสาส  https://t.co/MW0CYRo79W,_fxbkppzaza
2023-03-30 15:43:24+00:00,"พสแดนเซอร์ตัวแม๊มาก สับแตก

https://t.co/36FgPf5WQc",txhsaevigtnodi
2023-03-30 15:43:03+00:00,วิ่งสับหันตีนแตกแน่ รอดูเสียงบ่นจากบูทจัดงานแต่ละบูทได้เลย,aoMm0409
2023-03-30 15:42:48+00:00,"@aboutyewbjr @1tSeyfasz @Nnattawin1 @milephakphum พี่มายพี่โปหล่อสับตาแตกกระแทกเมียชาวบ้านมากเลยค่ะ

MILEAPO IN MUMBAI

#DiorFall23xMileApo",khum_phaer
2023-03-30 15:42:43+00:00,@blueprimevere แต่ปกติมิวส์ดีลมาลงยูทูปนะ แต่ไม่รุ้จะให้ดูยังไง จ่ายตังสับตะไคร้ช่อง หรือดูฟรี55555555555 เคยดูเรื่องลิขวิทมิวส์อยู่,favsaturday
2023-03-30 15:42:40+00:00,แล้ววันนี้สิ่งที่ยืนยันว่าชั้นเมนเจมีไนน์แบบสุดๆ คือตอนรวมพล นั่งข้างอิออย อิออยเมนโฟ้ด กุเมนเจมีไนน์ ตอนน้องเดินสวนกันซ้ายขวา โทสับกุกับอิออยยกขึ้นไขว้กันเป็นกากบาทเลย แน่วแน่ในเมนมาก แบบไม่ว่อกแว่กสักวินาทีเดียว55555555,_mymina
2023-03-30 15:42:36+00:00,ถ้าน้องโปเอาเข็มขัดรัดเอวจากด้านนอกให้เห็นเอวสับๆ ตายแน่ๆ,cutieapo94
2023-03-30 15:42:33+00:00,เรื่องหลุมคือแบบ คนไทยยังเตือนกันนะ แต่เห็นตปท.คือยกทอสับสูง สูงชิบหายย ละเขาไม่ด่ากันอ่ะเออ ทำเปนปกติ คัลเจ้อเนาะ,peanutbutten
2023-03-30 15:42:14+00:00,การ์ดคือสุ่มแบบสับมาก​ แม๊เอย​ กุท้อ555555,YoonJ_Han95
2023-03-30 15:41:43+00:00,ซอลยูลหุ่นสับมากแม่,dogudoy
2023-03-30 15:41:25+00:00,"@aboutyewbjr @1tSeyfasz @Nnattawin1 @milephakphum พี่มายพี่โปงานนี้หล่อสับตาแตกมากกก

MILEAPO IN MUMBAI

#DiorFall23xMileApo",khum_phaer
2023-03-30 15:41:24+00:00,@pang_naruetip @bbrightvc พี่คะ นุมีทอสับ 4 เครื่องแล้ว 😂,Rossawan
2023-03-30 15:41:20+00:00,หุ่นน้องแพรคือสับมาก ละสายตาไม่ได้เลยฮือ,LaiLinParkHun
2023-03-30 15:41:18+00:00,ต้าเหนิงสวยสับมากจริง ยิ่งโตยิ่งสวย เห็นตตมาออฮอโมน,RozalinGL
2023-03-30 15:39:07+00:00,น้องจอยแม่รักหนูนะคะรอแม่ก่อนนะเดี๋ยวแม่ไปหานะลูกชุดหนูเริ่ดเกินจะจัดธดดค่ะแม่ขอไปด่าผู้จัดก่อนนะคะหนูรอแม่แปปนึงนะคะ https://t.co/QgkRl4YZTC,aimdera
2023-03-30 15:38:55+00:00,"วิธีทำส้มตำซั่ว
ใส่พริกกับกระเทียมลงในครกตำพอหยาบ จากนั้นฝานมะเขือเทศตามลงตำให้พอเข้ากัน ปรุงรสด้วยน้ำปลาร้า น้ำปลา น้ำตาล ทราย ผงชูรส มะนาว และปูนา
ใส่เส้นมะละกอสับ และขนมจีน ตำเคล้าให้เครื่องปรุงทั้งหมดเข้ากันดี ชิมรสชาติและปรุงเพิ่มได้ตามใจชอบ จากนั้นตักใส่จานเลยจ้าอ่านต่อได้ท https://t.co/BhyFjnMVYe",nepjunnee
2023-03-30 15:38:52+00:00,แล้วบ้านกุมีโทสับหลายเครื่องอะ เฉพาะกุก็3แล้ว555555555555555 กุยืมพ่อแม่พี่น้องมาโหลดแอปเพื่อโหวตน้องซึงออนจนแม่ถามละว่าวันนี้จะยืมด้วยไหม55555555555555555,94withmaboy
2023-03-30 15:38:51+00:00,พออยู่คนเดียวได้โทสับก็สร้างปฏิสัมพันธ์กับคนอื่นให้บ่อยมากช่วงนี้,bambabymild
