date,content,username
2023-03-30 14:57:06+00:00,แต่ชั้นเชื่อว่าเทอจะชิปคู่เดียวกันกับชั้น สาธุ555555 อยากหาคนเม้าสุดละอันนี้ อยากหวีดเวลาโมเม้นมา,Luckygirl_1004
2023-03-30 14:56:56+00:00,แล้วโดนเม้าทุกมอ พอเรื่องของตัวเองก็มีมออื่นมาเม้าอีก เออ กุฟังละก็เออๆๆๆๆ 5555,p_n__41817
2023-03-30 14:56:55+00:00,ตอน kpop-masterz หลังจบคอนก็คือเศร้า แบบความรู้สึกติดอยู่ในฮอล ขนาดได้ดูแค่ 6 เพลง กับเม้ามอยนิดหน่อย ครั้งนี้ เกียม PCD 😭,fluffytmx
2023-03-30 14:56:17+00:00,ภวมาเม้าแซ่บให้ฟังหน่อย ถ้าจะเล่าออกไลฟ์แปลว่าเล่าได้,Tangaooo
2023-03-30 14:56:05+00:00,คือที่ฝึกงานขี้เม้าเกินอะ ทั้งพี่ทั้งเด็กเลย สนุกปากจนมาถึงหูกูได้ นี่คือสิ่งแวดล้อมทั่วไปของที่ทำงานไม่ว่าจะที่ไหนๆหรอ จะได้ปรับตัว,p_n__41817
2023-03-30 14:55:46+00:00,เรื่อวเอิร์ทมิกคือเป็นปริศนา ทุกคนรู้ คนใกล้ตัวทราบ อยากเม้าแซ่บแต่พูดไม่ได้ มันแบบ เออๆ แก เข้าใจเราหน่อย อยากทราบอาการค่ะหมอ มันเปนจยังง้ะะะ,Tangaooo
2023-03-30 14:55:16+00:00,ละแอคเพวโดไปไหนต้องการเม้า,imyourgirl_jh
2023-03-30 14:54:52+00:00,"สรุป LIVE #NewBNK48 ประจำวันที่ 30 มี.ค 66

น้องนิวมาเม้าท์มอยกับงานจับมือที่ผ่านมา และสปอยชุดงานจังเก้นที่จะถึง รวมไปถึงมาร้องเพลงให้ได้ฟังกันอีกด้วย สามารถรับชมดูไลฟ์ย้อนหลังน้องนิวได้นะคะ 🧡🐿
.
อ่านสรุปไลฟ์แบบเต็มที่ https://t.co/Kj8Ja3ZX73
.
#NEWQRRA #BNK48 https://t.co/e1CcNeGkkG",bnk48_new
2023-03-30 14:53:56+00:00,อ้าวแกไม่ใช่มัสแตง555555555555555 เป็นโพลี่เม้าปี71 แต่ก็สวย ชอบไอ้ไซด์พอดมากจัง เท่ ขับละแอคหล่อเลย https://t.co/V3zYPvpGM1,bringmetheflor
2023-03-30 14:52:35+00:00,ไปเลี้ยงสายคือใครคุยกับน้องกุไม่รู้กุนั่งเม้ากับเพื่อนแบบสุดๆ,nattayaa_m
