date,content
2023-03-29 19:55:43+00:00,@FRIDAYDECEMBERP มึงเขียนฝากนกพิราบมา
2023-03-29 19:55:35+00:00,ชอบผู้หญิงที่ดูยิ้มสวยสดใส เหมือนเจ้าหญิงที่ตื่นมาแล้วนกบินมาร้องข้างหน้าต่าง ตอนบ่ายก็ปาร์ตี้น้ำชา ตอนเย็นก็ไปเก็บดอกไม้กัน
2023-03-29 19:54:42+00:00,ตี3แล้ว มึงเล่นให้ใครฟังอะ กูงง
2023-03-29 19:54:21+00:00,@ihopeurook บ้าน้าแกก็รู้อยู่
2023-03-29 19:52:35+00:00,@dajinsrins อมก.คุณออม สงสัยเค้าว่าเคเาต้องไปเข้าคลาสเรียนภาษานกเพิ่มแล้วค่ะแปลไม่ได้4655555
2023-03-29 19:51:01+00:00,@nongfialuvpjk F จองกุกแบล็คกราวน้ำเงิน
2023-03-29 19:49:13+00:00,เพิ่งสังเกต ไอโอนายหลิวในเมนชั่นเยอะมาก 😂
2023-03-29 19:47:46+00:00,แบ้วกุชอบมากอ่านเรื่องผีตอนกลางคืน แล้วตอนนี่ก้ไม่กล้าหลับ🤌🏻🤌🏻
2023-03-29 19:46:41+00:00,กูปิดโทรศัพท์เพื่อนเกียมเข้านอนตั้งแต่1:23 สรุปหลับตาไปหลับตามาเปิดดูอีกทีเคเดินทางข้ามเวลาแบบไม่นอนแบบมีเรื่องในหัวล้านแปดอย่างท้อ
2023-03-29 19:45:20+00:00,ความสัมพันธ์ #ฟอสบุ๊ค น่ารักมากอยากตีตัวเองทำไมมาช้า คือมันไม่ใช่จับมาเพื่อจิ้นกันเฉยๆ แต่เขาเหมือนคู่พาร์ทเนอร์ที่ซัพพอร์ตซึ่งกันและกันเป็นเพื่อนสนิทค่อยคุยกัน ฮิลใจกันไปมา มันดีมากมาก จนอยากให้พวกเขาสมหวังในสิ่งที่เขาปรารถนาอะ ฝากเอ็นดูด้วยนะ อยากให้แมสมาก
2023-03-29 19:45:17+00:00,@_chocochocorune ด่ามัน
2023-03-29 19:44:37+00:00,เห้อ อย่าน่ารักมากสิ 🥹 https://t.co/PnCPlJefFv
2023-03-29 19:42:40+00:00,"@Esmenear_EMA เขาเอ่ยถามอย่างแปลกใจ ยามวิกาลเช่นนี้ไม่ค่อยมีคนกล้ามาเดินเล่นข้างนอกนักหรอก ยกเว้นแต่พวกขี้เหล้าทั้งหลาย ถึงกระนั้นแดนกลางก็ไม่ใช่สถานที่อันตราย อาจจะซับซ้อนบ้างสำหรับผู้มาเยือนเป็นครั้งแรก

ดังนั้นเขาจึงอาสาออกมาทำหน้าที่ผู้นำทางให้คนหลงทางทั้งหลาย

อันที่จริงแล้วก็แค่ฆ่าเวลา
+"
2023-03-29 19:42:26+00:00,@ADUSXWONYOUNG น้องเพนกวินค้าบ
2023-03-29 19:41:48+00:00,ผังคอนมายัง คือรอ 55555
2023-03-29 19:40:36+00:00,"@zainzara_auntie @hi_seerung นกฟ้าทางนี้คือ 14.98 GB ยังงัยซิ๊ เล่นอะไรไปนะ 555555

ในเลข 5 มีน้ำตาแห่งความปล่อยวางแฝงอยู่ค่ะ"
2023-03-29 19:40:01+00:00,นกร้องละ
2023-03-29 19:38:55+00:00,เมาก้อเมาน้องแอ้นกรนอีกสร่างเรย
2023-03-29 19:38:37+00:00,@free_botan #onix911 แจกจริง
2023-03-29 19:36:07+00:00,แกว่าอ่านแค่นี้แล้วนอนเลยได้ไหมใจมันไม่ไหวอะ ตรงไทป์เกิ๊นน https://t.co/VT03naRUhb
2023-03-29 19:35:24+00:00,"5.
💵แจกตลอด 24 ชม.💵
ทักหาแอดมินกดรับได้เลย
#PGSPIN99BET #เครดิตฟรี
#เครดิตฟรีล่าสุด #เครดิตฟรี80 https://t.co/z8FIFkWzw2"
2023-03-29 19:35:12+00:00,"4.
💵แจกตลอด 24 ชม.💵
ทักหาแอดมินกดรับได้เลย
#PGSPIN99BET #เครดิตฟรี
#เครดิตฟรีล่าสุด #เครดิตฟรี80 https://t.co/xGogszVsNo"
2023-03-29 19:34:55+00:00,"3.
💵แจกตลอด 24 ชม.💵
ทักหาแอดมินกดรับได้เลย
#PGSPIN99BET #เครดิตฟรี
#เครดิตฟรีล่าสุด #เครดิตฟรี80 https://t.co/IGLTfGH51L"
2023-03-29 19:34:36+00:00,"2.
💵แจกตลอด 24 ชม.💵
ทักหาแอดมินกดรับได้เลย
#PGSPIN99BET #เครดิตฟรี
#เครดิตฟรีล่าสุด #เครดิตฟรี80 https://t.co/xS5RHRiqmM"
2023-03-29 19:34:13+00:00,"1.
💵แจกตลอด 24 ชม.💵
ทักหาแอดมินกดรับได้เลย
#PGSPIN99BET #เครดิตฟรี
#เครดิตฟรีล่าสุด #เครดิตฟรี80 https://t.co/H7wVvuq4WE"
2023-03-29 19:33:41+00:00,"@hi_seerung @zainzara_auntie มาลงตรงนี้ พื้นที่ของ twitter ก็จะกินเมมในทอสับ รึป่าว 555555

เพราะทางนี้พี่นกฟ้ากินพื้นที่มากค่ะ ฮื้ออออ"
2023-03-29 19:31:03+00:00,เข้าวงการมูแบบแค่ขาเดียวก่อน
2023-03-29 19:29:50+00:00,เหนื่อยจะด่า ฉันแค่อยากมีความสุขบ้าง
2023-03-29 19:29:33+00:00,สายตานายแลงมาตลอด ความนักแสดงอ่ะ แสดงอารมณ์ทางสายตาชัดมากๆ https://t.co/w8CK0CdkVu
2023-03-29 19:29:29+00:00,เพิ่งมานั่งสังเกตดูว่า ตอนลีออนหยิบปืนแมร้งมีกิมมิคด่วย ละลีออนกระเป๋าเยอะชิบ5555555555
2023-03-29 19:28:58+00:00,จริงด้วย โฮ... รักนะคะ🥺
2023-03-29 19:28:13+00:00,เพิ่งรู้ว่าเพื่อนที่เรียนรุ่นได้เดียวได้ผู้ ฝ จากการสมัครเว็บหาคู่ กำลังจะแต่งงานแล้วด้วยจ้า เริ้ดนะเนี่ยนะ
2023-03-29 19:27:40+00:00,จริงๆสายพันธุ์นี้มีหลายชื่อนะ แต่ชั้นไม่ใช่ผู้เชี่ยวชาญด้านนก ถ้าข้อมูลผิดพลาดต้องขออภัยด้วย มาบอกกันได้ ;-; เผื่อใครอยากเห็นว่ามีคนเลี้ยงน้องจริงมั้ย ก็มีคนเลี้ยงจริงนะ https://t.co/hKNnAMwgg0
2023-03-29 19:27:38+00:00,@hayato_nani จะลิมิตไม่ได้ค่ะ เรากำลังจะหวีดผช จะมาลิมิตแบบนี้ไม่ได้มันค้างงง 😭😭😭
2023-03-29 19:27:22+00:00,เอะๆๆๆ ไทยได้ตอนพิเศษเฉพาะด้วยเหรอ✨✨✨
2023-03-29 19:27:04+00:00,ทวิตเลิกติดลิมิตกุที 😭
2023-03-29 19:25:48+00:00,ไม่น่านอนกลางวันเลย
2023-03-29 19:25:43+00:00,@hayato_nani ตีสองแล้วมันยังไม่เลิก https://t.co/ve1IaUkUaN
2023-03-29 19:25:32+00:00,คนนั้นก็อาจจะฟอลกุอยู่ ถ้าผ่านมาเห็นก็สวัสดีค่ะคุณชิกกี้ ไม่ได้คุยกันนานเลยจนบ้านนกฮุกจะจบอยู่แล้ว45655556655
2023-03-29 19:23:20+00:00,ร้องไห้แรลลี่แทบตายสุดท้ายน้องทอมมี่ยิงนก😭
