date,content
2023-03-30 08:47:21+00:00,ที่เห็น ซากหมาแกง ที่แห้งเพราะฟามร้อน
2023-03-30 08:46:42+00:00,มีสีไข่มุกไหมคะ #TOYOTAxZEENUNEW
2023-03-30 08:46:32+00:00,แกงอุ้บ แกงอุ้ยอะไรอ่ะ แกงขี้ตกใจหรอ😭😭😭😭😭😭😭😭
2023-03-30 08:45:59+00:00,"รู้จัก ถานเกอจากวาไรตี้นี้ ที่ร้องเพลงกับหนิงเกอ สะดุดตา
แล้วก็มารู้ว่าอ้าวววว เป็น นอ.ฆ่าหมาป่าเหรอ แล้วล่าสุดบทเซียงหลิ่วผมขาวคือจึ้ง… รอคอย อื้มมม  🤣 https://t.co/7WbGFrloBF"
2023-03-30 08:45:57+00:00,@Nutziii1 แกงลูก 🤣🤣
2023-03-30 08:45:56+00:00,ไม่มีอะไรอร่อยเท่สน้ำพริกอ่องกับแกงอุ้ยที่แม่ทำระๆๆๆๆ แต่จิงๆแม่ทำไรก้ออร่อยง่ะ
2023-03-30 08:45:46+00:00,Increase skill ใหม่ค่ะ 🤘 ขอลังใจจากแกงค์ข้างหลังที https://t.co/k0tv4oWsXn
2023-03-30 08:45:21+00:00,ประสบการณ์ทางการเมือง3 สมัย คิดคุก5 สมัย ปรบมือเป็นกำลังใจให้ครูนิสิต 😂👏 แกงพ่อใหญ่คัก https://t.co/qVb7wVVesB
2023-03-30 08:45:16+00:00,@yujinietoki แกงมากฮือ5256262626263
2023-03-30 08:45:12+00:00,อยากกินแกงที่แม่ชอบทำ แต่แม่ไม่อยู่แล้วต้องทำกินเอง เพราะเม่เคยสอนแค่เราคนเดียว พี่คนอื่นไม่ได้วิชาไป 😢
2023-03-30 08:44:51+00:00,โดนแกงยังไงได้น่ารักขนาดนี้้้
2023-03-30 08:43:55+00:00,หมาแกงกลัวพื้นเปียก จะทำให้พื้นเสียหาย เลยนำร่างกายบังไม่ให้พื้นบางส่วนเปียก
2023-03-30 08:43:37+00:00,ไม่แกงใช่ไหมทุกคนจะใส่ดอกใช่ไหม 😬
2023-03-30 08:43:14+00:00,@D_thawinkan เราไม่เคยแกง(รึเปล่า)
2023-03-30 08:42:21+00:00,ป้าข้างบ้านวันนี้ทรงดี อวยยศกินแกง 1
2023-03-30 08:41:23+00:00,@hi_kkhun ไฮท์โน้ตจุก
2023-03-30 08:39:52+00:00,พี่ซี 555 #TOYOTAxZEENUNEW
2023-03-30 08:39:52+00:00,@hi_kkhun นี่เมนชาลินนะ
2023-03-30 08:39:29+00:00,เป็นโปรแกรมเมอร์ยังไงให้โดนโปรแกรมแกง?????😂
2023-03-30 08:38:08+00:00,ส้มแกงสีผิวกูมากนะ52625555 https://t.co/Lp2koVDqpO
2023-03-30 08:37:22+00:00,@carmen167057816 กินแกงบวบในหม้อขมิ้น แน่ๆ​🤣🤣🤣
2023-03-30 08:37:19+00:00,ไทยแล๊นนนนนรรร
2023-03-30 08:37:06+00:00,โครตแกงใบเขวร้องให้แล้วนะ55555
2023-03-30 08:36:18+00:00,พักยูสแวะมาเล่นน้องคนสวย ให้สปินเยอะมากแต่แกงค่ะ 😹 #โพนี่โพใจ https://t.co/3b0mrY8asz
2023-03-30 08:36:02+00:00,ไม่มีใครเค้ามาด่าศลปหรอกตอนนี้อ่ะ
2023-03-30 08:35:55+00:00,"@nurulhatina เค๊าไม่ได้แกงลูกนะ เอ็นดูเฉยๆ 555555
(แต่กลัวโดนลูกสาปมากนะ 😂)"
2023-03-30 08:35:48+00:00,@baby_nori05 ชอบในความตั้งใจของทุกคน ต่างกันต่างซัพพอร์ตในหลายๆเรื่อง อยู่ด้วยกันเหมือนครอบครัวจริงๆ ส่วนเมนเรา คนที่อบอุ่นที่สุด take care คนรอบข้างตลอดและโดนแกล้งจากเหล่าเมมเบอร์ พี่โยชินั่นเอง ใจดีมากกก ไม่เคยโกรธรึว่าน้องๆเลยเป็นเป้าในการแกง5555
2023-03-30 08:35:24+00:00,โบกอมเล่นไอจีแร้ววว อยากเห็นโมเม้นแกงค์อึงพัลในไอจี 🥺
