tweet_test,result
เอาข้าวกับไก่เอาข้าวกับไก่ค่ะน้ำยำไม่ต้องว้อยยยข้าวเปรี้ยวจนงงว่าบูดมั้ยเลยอะ,0
มันยังไม่บูดหรอสู,0
จริงสุดบัวลอยบูดที่ไม่มีกลิ่นบูด,0
คิดจะพักแต่เปิดตู้เย็นก้อเจอเห้ออิแม่กัวมันบูดดดดดมะรืนเดินทางต้องรีบเคลียร์บ้านโป่งราชบุรีจะให้แวะสถานีไหนขอเช็คเสียงหน่อยน๊าาาสาวใหญ่คนขี้เมาหมอขี้ดื้อ,0
ละวันนี้ท้องเสียไม่รู้ว่าเพราะแกงนี้ไหมหรือมันบูดก่อนหน้านั้นแล้วโอ้ยทำไมประเทศไทยต้องร้อน,0
โดนแม่งอนเรื่องไรกันบ้างล่าสุดกุโดนงอนเพราะลืมอุ่นแกงแกงเลยบูดมึงมันใช่เรื่องไหม,0
กูไม่ซักผ้ามาอาทิตย์ละเสื้อบูดหมดละอีเหี้ย,0
อ้วนกลับมาเถอะอาหารบูดหมดแฃ้ว,0
จำไว้เลยเวลาจะเอาอะไรมาบูชาถ้าต้องบูชาด้วยเลือดเนื้อหรืออะไรแปลกๆให้ติ๊ต่างไว้ก่อนเลยว่าสายดำแน่เพราะถ้าเป็นพระเป็นเทพเค้าไม่อยากได้อะไรแบบนั้นเทพท่านมีทุกอย่างแล้วถวายแค่ผลไม้ธูปหมดดอกก็ลาของไหว้มากินเองได้อย่าทิ้งไว้จนบูดนะ,0
แม่จะสั่งมากินอย่างไงดีลูกกว่าจะข้ามน้ำข้ามทะเลมาไอติมอาจบูดหรือเหลือแต่กล่อง,0
เสียดายอ่ะสั่งน้ำปั่นมาละวิปครีมบูดเสียเงินฟรีเลย,0
เส้าใจที่คอนจัดที่ธดช๊อตฟิลด้วยการที่แม่ให้กินข้าวบูดอีกโถ่ะะชีวิต,0
ขนมแบบจองวอนนี่ขนมสดแบบฟาร์มเฮ้ารึป่าวถึงไทยทันมั้ยขนมบูดก่อนแน่หรือมันมีแบบไม่สดด้วย,0
แกชั้นสื้อนมมานมบูดมันนอกตู้เยนแค่ชมเองอ่ะปกติก้ไม่บูดนะโดนแม่ด่าเรย,0
ก๊อกๆมีของอร่อยมาอยากให้ลองค้าบขนุนทอดคุณวีรยาทำสดใหม่ทุกออเดอร์ไม่มีค้างสต๊อกไม่ใส่สารกันบูดอยู่ได้นานเดือนมีขนาดกิโลกรัมจะได้ราคาถูกขึ้นสามารถสอบถามได้คั้บบขนุนทอดซื้อของกับ,0
ข้าวบูดแร้วมั้งไปเอามากินเด่วก้เจ้บท้อง,0
ข้าวบูดไปละรอกินเยนทีเดียว,0
โอ้ยอยากอ้วกเครียดปวดท้องอาหารบูดอีกต่างหากแต่ก็ดียังนอนได้เอ้อยังมีข้อดีหนิดีกว่าวันก่อนปวดหลังจนนอนแล้วตื่น,0
ครั้งนี้ที่บ้านทำบลาวนี่ชีสเค้กไม่ใส่สารกันบูดไปให้ครอบครัวหมอด้วยหมอบอกว่าขอบคุณมากลูกสาวบอกว่าอร่อยน้องชอบกินเค้กมาก,0
ลูกสาวโล่งใจมีพมมารับผู้ป่วยติดเตียงไปดูแล้วหลังสุดทนกับพฤติกรรมแม่รับมาเลี้ยงดูหวังเงินแต่กลับด่าทอให้กินข้าวบูดแถมทุบตีสารพัดเจ้าตัวลั่นถูกไล่ออกจากบ้านทั้งที่ท้องก็ไม่เป็นไรถ้าได้ช่วยคนเดลินิวส์ลูกสาวไล่ออกจากบ้าน,0
เหมือนวงการหนังเขาดูซื่อตรงกันดีไม่บูดเหมือนวงการละครนางแบบแบนสุพรรณหงส์,1
อย่างพ่ออาตี้ก็บูดสำหรับฉันเหมือนกันแม่ก็บูดเมียตายเพราะท้องเด็กมีพลังเวทย์พอคลอดเลยคิดว่าที่เป็นงี้เพราะอาตี้ทอดทิ้งกรุบๆสาวใช้เอยเอาของตำหนักลูกไปหมดเฉลยทิ้งความทรงจำความรักที่มีไปในอดีตเพื่อไม่ให้เจ็บปวดไดอาน่าก็ท้องไม่สนใจผัวจะรู้สึกยังไง,1
คอนเสิร์ตมันไม่ได้เตรียมแค่วันสองวันแต่เตรียมเป็นเดือนเป็นปีมันให้แค่นี้ก็รู้เลยนะว่าอิดอกบูดมาก,1
โคตรบูดคอนเทนเเต่ละอย่างไม่เคยนึกถึงต่อสังคมในที่สุดก็มีคนพูด,1
บูดชิบหายแทนที่กุจะได้มีคสุขที่เขาเที่ยวในไทยในด้อมก็พูดกันอยู่ว่าปล่อยให้น้องได้จอยไม่ต้องไปตามแต่สุดท้ายแม่งก็มีคนไปตามเขาเป็นพรวนอส,1
บูดเว่ออะเฟียสกีเกิ้นนรนนเก่งมาจากไหนคะ,1
ก็ดีกว่าอารมณ์บูดทั้งวันล่ะนะว่าแต่ฉันเธอเองก็ดูโตกว่าอายุไปมากเลยนะเอ๊ะงั้นเหรอฮะๆๆๆดาเนียลเหลือบมองรอยสักบริเวณไหล่ซ้ายของนาเดียมันเหมือนกับอักขระอะไรสักอย่างเป็นสีน้ำเงินรูปร่างคล้ายกับปลาที่กำลังแหวกว่ายในทะเลรอยสักนั่นอ๋อได้มาตั้งแต่เกิดน่ะ,1
อีพวกแก่บูดมากค่านี่มันแล้วเลิกนิสัยงี้ค่าอย่าไปสนใจเลยมึงงเชิ่ด,1
งงมากคือตลกตรงไหนคือบูดมากไปพักจ้ะ,1
วันนี้มันบูดทั้งวันจริงๆบบก็เข้าไม่ได้ชีวิตก็มีแต่เรื่อง,1
ก่อนหน้านี้ก็ลงสตอรี่บอกติดงอมแงมไม่ใช่หรอหนิงงงงงงงทั้งบูดทั้งบ้งเลยมึงอ่ะ,1
คือความหมายมันมีมากกว่านั้นอยู่แล้วแต่เอาเรื่องนี้มาอ้างมันบูดเกินแก,1
อิบิ้งน้อทออลวันนี้บูดไม่ไหวระรานชาวบ้านไปทั่วรักษามาตรฐานสุดเหมือนอยู่เฉยๆแล้วจะตายห่า,1
ว่าไปเรื่อยบูดชอบอวดภูมิชอบอวดว่าเป็นนักกฎหมายใหญ่พรรคอนาคตใหม่โดนยุบเพราะใครเพราะนักกฎหมายโง่ๆไม่รอบคอบใช่ไหม,1
คนพากย์ช่องบูดจริงๆคือความเป็นมืออาชีพคือศูนย์แกว่าการพากย์ให้นักแข่งคนใดคนหนึ่งดูแย่มันควรหรอมันควรเอาความรู้สึกส่วนตัวมาลงกับการบรรยายด้วยหรอมืออาชีพอ่ะด่วนนนน,1
ใครที่บอกจะไม่ไปเลือกตั้งเพราะชนกับคอนเสิร์ตคือบูดมากเลือกตั้งใช้เวลาไม่ถึงครึ่งชมรีบตื่นไปเลือกแล้วจะไปคอนเสิร์ตต่อยังได้ถ้าอยู่ตจวก็ยังมีเลือกตั้งล่วงหน้านะอย่าลืมลงทะเบียน,1
ฉันอ่านทั้งเธรดแล้วบูดค่ะยิ่งอธิบายยิ่งบูดตัดความเป็นครูนักเรียนออกไปแค่คนกับคนธุระตัวเองคนนึงแจ้งให้ไปดำเนินการด่วนเพื่อผลประโยชน์ตัวเองอีกคนตอบจะให้ไปยังไงแค่นี้ก็แย่แล้วค่ะจะมาสร้างสรรค์กับใช้หีดีดไม้ไผ่อะไรถ้าบอกว่าครูให้รายละเอียดน้อยไปก็ถามสิคะ,1
จริงทวิตเดี๋ยวนี้บูดมากมั่วมากกกกเทรนด์ทวิตเหมือนสุ่มอ่ะเอาจริง,1
คล้ายๆกับเรื่องของแอนชิลีอ่ะมันอาจจะบูดไม่ปังสำหรับหลายๆคนแต่ปฏิเสธไม่ได้หรอกว่าคีเวิดนี้แทบจะแฝงอยู่ในทุกๆวันของการใช้ชีวิตพูดคำนี้ใครๆก็ต้องเคยได้ยินแอนชิลีเหมือนเสียสละตัวตนมาเป็นสนามอารมเพื่อแลกกับขับเคลื่อนสังคมอ่ะสมมงนางงาม,1
อีเหี้ยมองว่าคำหยาบแบบนี้ดูปกติอิเหี้ยกุชอคสังคมนี้มันจะบูดได้ถึงไหนกันวะกุชอคมาก,1
