context,next_word,probability
(),ปัง,0.5586690017513135
(),ปัง,0.5586690017513135
"('ปุ',)",ปัง,0.27564102564102566
"('ความ',)",ปัง,0.19472789115646258
"('ของ',)",ปัง,0.1381578947368421
"('ความ', 'ของ')",ปัง,0.07631119684026821
"('ให้',)",ปัง,0.09131205673758865
"('เลย',)",ปัง,0.07677616501145912
"('ให้', 'เลย')",ปัง,0.04610205107440555
"('ความ', 'ปุ')",ปัง,0.054999109686609676
"('มาก',)",ปัง,0.09433497536945813
"('สุด',)",ปัง,0.08063042485153038
"('มาก', 'สุด')",ปัง,0.05209416490823526
"('คิว',)",ปัง,0.043809132044426165
"('ๆ',)",ปัง,0.07779349363507779
"('คิว', 'ๆ')",ปัง,0.05113858536112679
"('รน',)",ปัง,0.0365975935828877
"('เว่อ',)",ปัง,0.03739048811013767
"('รน', 'เว่อ')",ปัง,0.02469899389741052
"('ลุค',)",ปัง,0.03166338305657191
"('ลุค', 'ๆ')",ปัง,0.04557857847640434
"('กุก',)",ปัง,0.02915711739241151
"('ไม่',)",ปัง,0.06706224809673086
"('กุก', 'ไม่')",ปัง,0.044906301898628355
"('มัน',)",ปัง,0.046474358974358976
"('มัน', 'ปุ')",ปัง,0.03128205128205128
"('ความ', 'ความ')",ปัง,0.032380510732721184
"('ขอให้',)",ปัง,0.03167641325536062
"('ทะลุ',)",ปัง,0.023204736440030557
"('ขอให้', 'ทะลุ')",ปัง,0.015909655398209443
"('ใคร',)",ปัง,0.019633307868601985
"('สุด', 'ใคร')",ปัง,0.013668203504391144
"('ที่สุด',)",ปัง,0.024095524095524096
"('มา',)",ปัง,0.031387061403508776
"('ชี',)",ปัง,0.01816810640340052
"('ความ', 'ชี')",ปัง,0.012740146563675976
"('ตัว',)",ปัง,0.027901928233942025
"('งง',)",ปัง,0.017252355487649605
"('ตัว', 'งง')",ปัง,0.012156630935640402
"('ๆ', 'มา')",ปัง,0.020566056291558804
"('คือ',)",ปัง,0.01908983451536643
"('คือ', 'มา')",ปัง,0.020234576477425447
"('ร่า',)",ปัง,0.015985891455228125
"('ร่า', 'สุด')",ปัง,0.031228364042434394
"('มัน', 'ไม่')",ปัง,0.037190626530085764
"('ต้อง',)",ปัง,0.0153475935828877
"('แล้ว',)",ปัง,0.017782644972882768
"('ต้อง', 'แล้ว')",ปัง,0.012558592742778199
"('เข้ามา',)",ปัง,0.014781555847038642
"('เข้ามา', 'ๆ')",ปัง,0.035052774646088816
"('เชิ่ด',)",ปัง,0.014438502673796792
"('เชิ่ด', 'ไม่')",ปัง,0.0363341137069372
"('ปู่ย่าตายาย',)",ปัง,0.014119523407449104
"('ปู่ย่าตายาย', 'มาก')",ปัง,0.03612682195057674
"('เรา',)",ปัง,0.01382216985407414
"('เรา', 'ไม่')",ปัง,0.035933223864258346
"('ของจริง',)",ปัง,0.01617544471573073
"('ของจริง', 'ไม่')",ปัง,0.035751995151327744
"('แก',)",ปัง,0.018518518518518517
"('แก', 'แก')",ปัง,0.013080000518726008
"('แบบ',)",ปัง,0.020850202429149797
"('แบบ', 'ๆ')",ปัง,0.03391830625605348
"('อยู่',)",ปัง,0.01281028015005188
"('ตัว', 'อยู่')",ปัง,0.009280031302986826
"('ขอให้', 'ๆ')",ปัง,0.03369475316303449
"('แบรนด์',)",ปัง,0.012490450725744843
"('แบรนด์', 'ๆ')",ปัง,0.03355670244995237
"('ปัง',)",ปัง,0.019802682944140816
"('ป',)",ปัง,0.012014260249554367
"('ทุกวัน',)",ปัง,0.01455767077267637
"('ป', 'ทุกวัน')",ปัง,0.010453306244240563
"('ฉัน',)",ปัง,0.01175784999314411
"('ขนาด',)",ปัง,0.011676707506938333
"('ฉัน', 'ขนาด')",ปัง,0.00853494190666409
"('ตัว', 'สุด')",ปัง,0.02836709465338723
"('วว',)",ปัง,0.011445154558497456
"('สะบัด',)",ปัง,0.011371689968429868
"('วว', 'สะบัด')",ปัง,0.008332676868436495
"('เลอ',)",ปัง,0.011229946524064172
"('ๆปั๊วะๆ',)",ปัง,0.011161547071259794
