tweet_test,result
เชื่อว่ามีบัตรขายหน้าคอนอะลำไยผู้จัดอะ,1
ยังกูยังลำไยอยู่อีเหี้ยนี่,1
ลำไยคนแบบนี้มากอะ,1
เออลำไย,1
ลำไยคนมีความรัก,1
บล๊อกค่าลำไย,1
อิข่าวนี้วนมาอีกละลำไย,1
แม่ทอดไข่ไว้ให้ไม่กินจะกินมาม่ามีอีกย่างจะกินอีกอย่างลำไยตัวเอง,1
ใครตัดต่อหน้าจปุ๊กใส่คนอื่นกูมิ้วหมดลำไยเห้อ,1
มิ้วเลยแม่ลำไยมากเหมือนกัน,1
นี่มิ้วไปละลำไยมาก,1
แม่กุเป็นไรลำไย,1
ดูต่อไม่ไหวลำไยนางเอกดีไปหมดยกเว้นบทนางเอกฉันเพลีย,1
ในที่สุดเทอก็ได้เค้กโอ๊ยลำไยอิวายจีจะเรื่องมากทำไม,1
โอ้ยลำไย,1
กุเริ่มลำไยละเข้าใจว่ามาแรงแต่แบบมึงก้นะ,1
บ้านชั้นเห่อลูกชายคนใหม่มากเลยลำไย,1
ไม่ได้เหมือนกันลำไย,1
คนเก่าก็ไม่ต้องส่งมาค่ะลำไยสุดๆ,1
ไม่ใช่ไรลำไย,1
แต่มันจะคนละฟีลนะจริงนะละเนื้อลำไยแห้งที่ต้มออกมาก็ไม่ได้อร่อยแบบลำไยสดละนี่,0
น้ำลำไยสดนี่รสชาติอ่อนแต่หอมกว่านิดนึง,0
กุนึกว่าเค้ารู้กันตลอดว่าน้ำไยสดคือน้ำลำไยแห้งที่ต้มผสมน้ำเชื่อมแล้ว,0
พอขายคือแอดออนลำไยสดเข้าไปมาโดยตลอดมีคนคิดว่าต้มลำไยสดจริงๆด้วยเอ็นดู,0
บอกทุกคนแล้วว่าพรุ่งนี้จะเข้าสายลำไยลองกอง,0
ที่ฮิตกันคือซื้อลำไยสดมาแล้วคว้านเม็ดออกเอามาต้มน้ำเมื่อเช้าเพิ่งทำแต่บางเจ้าก็คงเนียนๆ,0
น้ำลำไยที่ใส่ลูกลำไยสดจริงๆไม่ใช่ลำไยอบแห้งนี่เห็นที่ไหนวิ่งเข้าใส่เลยนะมันฟินมากกกกก,0
น้ำลำไยสดที่เกลื่อนๆหันอยู่มันก็คือลำไยกระป๋องเวอร์ชั่นใส่แก้วอ่ะถูกมะ,0
ลำไยลอยแก้วเวลานี้คือสดชื่นเว่อแต่หวานจนเวียนหัว,0
ลำไยไหทองคำร้องสดโคตรมันอะในยูทูปคือจอยเว่อมากกกกก,0
คนชอบกินน้ำลำไยหน้าร้อนกันเหรอออไม่กลัวเป็นร้อนในกันอ่อลำไยมีฤทธิ์ร้อยกินหน้าร้อนอีกมะหวายๆๆ,0
อยากให้เธอลองได้ฟังเพลงโปรดของเราบ้างใจสิเพลำไยไหทองคำ,0
ไม่ทราบว่าลำไยไม่รู้ว่าลองกอง,0
จริงๆสอยดาวกับโป่งน้ำร้อนคนไม่ค่อยปลูกทุเรียนเพราะน้ำไม่ดีส่วนมากปลูกลำไยกันมากกว่า,0
ตอนแรกไม่ได้คิดว่าเปนน้ำแข็งคิดว่าเป็นเงาะกระป๋องลำไยกระป๋องลิ้นจี่กระป๋องไรงี้อะ,0
เข้าหน้าร้อนแล้วคนไข้มักมาด้วยอาการเพราะมะม่วงสุกลำไยมะยงชิดทุเรียน,0
สั่งขนมจีนน้ำยาปูมากินเค้าขายน้ำลำไยแบบที่ใส่เนื้อสดด้วยจัดสิ,0
ถ้าปลูกต้นลำไยวันนี้อีกปีก็จะได้กินคิดการใหญ่ใจต้องนิ่ง,0
เคยเจอที่บ้านชอบอยู่ตามต้นลำไยไม่รู้เลยน้องเป็นสัตว์คุ้มครองน่ารัก,0
