context,next_word,probability
(),ลำไย,0.5949119373776908
"('เบื่อ',)",ลำไย,0.2597402597402597
(),ลำไย,0.59375
"('หมด',)",ลำไย,0.17320261437908496
"('เว่อ',)",ลำไย,0.13790322580645162
"('หมด', 'เว่อ')",ลำไย,0.07647654667290012
"('ราคา',)",ลำไย,0.08986928104575163
"('จะ',)",ลำไย,0.08116883116883117
"('ราคา', 'จะ')",ลำไย,0.04936354259458953
"('จบ',)",ลำไย,0.06209150326797385
"('นาง',)",ลำไย,0.0565359477124183
"('จบ', 'นาง')",ลำไย,0.03585936954536193
"('กู',)",ลำไย,0.04820261437908496
"('บท',)",ลำไย,0.04499748617395676
"('กู', 'บท')",ลำไย,0.029361565414696342
"('อ่ะ',)",ลำไย,0.03986928104575163
"('อี',)",ลำไย,0.040990259740259744
"('อ่ะ', 'อี')",ลำไย,0.027291825821237584
"('ละ',)",ลำไย,0.04688605803255484
"('เลย',)",ลำไย,0.03276740237691002
"('มาก',)",ลำไย,0.08604651162790697
"('เลย', 'มาก')",ลำไย,0.05775692991202384
"('ทวิ',)",ลำไย,0.032467532467532464
"('เนาะ',)",ลำไย,0.02827507814720091
"('มา',)",ลำไย,0.030573593073593072
"('เนาะ', 'มา')",ลำไย,0.021008872923766544
"('เพราะ',)",ลำไย,0.028971028971028972
"('ดู',)",ลำไย,0.02505446623093682
"('เพราะ', 'ดู')",ลำไย,0.017439916681238652
"('แท้ๆ',)",ลำไย,0.02377732702276313
"('หลาย',)",ลำไย,0.023202614379084968
"('แท้ๆ', 'หลาย')",ลำไย,0.016283695567176338
"('เริ่ม',)",ลำไย,0.0221609477124183
"('เริ่ม', 'อี')",ลำไย,0.017764107237791447
"('พี่',)",ลำไย,0.021241830065359478
"('พี่', 'มาก')",ลำไย,0.05138698510791534
"('กด',)",ลำไย,0.023629148629148628
"('ทุกวัน',)",ลำไย,0.020049461225931816
"('มัน',)",ลำไย,0.019693842449260406
"('ทุกวัน', 'มัน')",ลำไย,0.01406574720778451
"('ก็',)",ลำไย,0.025403225806451615
"('แฟนคลับ',)",ลำไย,0.018731069663637814
"('ก็', 'แฟนคลับ')",ลำไย,0.013451213818860878
"('คน',)",ลำไย,0.030736187231521255
"('ล่ะ',)",ลำไย,0.02426686217008798
"('ว่ะ',)",ลำไย,0.02085137085137085
"('ตัวเอง',)",ลำไย,0.017405512929809606
"('ว่ะ', 'ตัวเอง')",ลำไย,0.012602899593991398
"('สุด',)",ลำไย,0.03256856540084388
"('โดน',)",ลำไย,0.01674002934507136
"('หยุ',)",ลำไย,0.0165359477124183
"('โดน', 'หยุ')",ลำไย,0.012042671474720157
"('ความ',)",ลำไย,0.016151332327802918
"('เพราะ', 'ความ')",ลำไย,0.011792082023325658
"('ยัง',)",ลำไย,0.018999518999519
"('ตัว',)",ลำไย,0.01883116883116883
"('ยัง', 'ตัว')",ลำไย,0.013587439957302971
"('น่า',)",ลำไย,0.03092382855873862
"('ชิบ',)",ลำไย,0.015156637367590715
"('น่า', 'ชิบ')",ลำไย,0.01228232884458746
"('จัง',)",ลำไย,0.027441613588110404
"('น่า', 'จัง')",ลำไย,0.01934099080526047
"('อีแก่',)",ลำไย,0.017804775869291998
"('มาด',)",ลำไย,0.017676767676767676
"('เพื่อน',)",ลำไย,0.014348447712418302
"('ฉัน',)",ลำไย,0.014228255404725994
"('เพื่อน', 'ฉัน')",ลำไย,0.010541590373523146
"('ไป',)",ลำไย,0.02036591237361579
"('วอแว',)",ลำไย,0.013888888888888888
"('ไป', 'วอแว')",ลำไย,0.010318159852166527
"('ได้',)",ลำไย,0.023168498168498166
"('ไลน์',)",ลำไย,0.0167825132613865
