tweet_test,result
โดนเทบัตรค่า,1
นัดแล้วเทอย่านัดนะคะเสียเวลา,1
ถ้าไม่โดนเทจะแจกเงินคนในทวิตบาทคน,1
แรงมากแรงตอนมันมาเทตอนน้องบินมาถึงนี่แหละเซ็งแทนเลยว่ะซิส,1
เทแล้วเทอีกถ้าราคาขนาดนี้ไม่ซื้อคืองงนะ,1
มาจองก่อนได้แต่งดเททุกกรณีคับ,1
เค้าโดนเพื่อนเทเลยหาเพื่อนไป,1
ตอนนั้นเฝ้าอยุ่เหมือนกันแต่ไม่ทันเลยเทค่ะ,1
หายไปหาบัตรค่าโดนเท,1
แล้วเนี่ยจะเทเขาได้ยังไง,1
สรุปดูตงจบแล้วเททุกอย่างเลย,1
ถ้าหากว่าน้องโดนเทลองเซมาหาพี่พี่ไม่หล่อเท่แต่ว่าทรงเอกำลังฮิตอย่ามัวโลเลใจพี่นักเลงกว่าจอนนี่พี่อาจจะดูเลวแต่ใจของพี่แม่งโคตรดี,1
นัดไว้นานแล้วคนเราก็ไม่ควรเทนัดใครถ้าไม่จำเป็นไหม,1
หาคนเดือดร้อนหมดที่พึ่งโดนเทโดนโกงนักเรียนนักษาศึกษา,1
ท้อใจตั้งแต่เมื่อเช้าที่โดนเทละเฮ้อ,1
ทำได้แบบนี้จะดีมากเลยคะเก็บแต้มไว้เพื่อไปเทตอนช่วงเหมือนอันที่โหวตรอบที่แล้ว,1
ก็ไม่บอกว่าอยากได้ซักครั้งอามี่มันเทแม่งละ,1
ไปเล่นคอนแหละเทเลยขำๆ,1
พอเขาเข้ามาเองก็โดนเทตลอดบัดซบ,1
แกที่เก่าเขาเทชั้น,1
ขายเทไม่ได้เล่นนานแล้วล้อกอินกับทวิตอีกแอคมีดาวน้อยไม่กล้าขายแพงคับปกติเกลือครับตีทีไรฟันไม่เข้าตลอดมีเมืองใหม่ยังไม่ได้เปิดสนใจก้มชครับอติแฟคแต่ละตัวกังมากครับขายไอดีตลาดนัด,0
ปล่อยบัตรโซนจำนวนใบค่าาขายเทเลยใบละบาทค่าาา,0
ขอให้งานปังๆเงินทองไหลมาเทมาได้ทำสิ่งที่อยากทำแฮปปี้ๆ,0
ก็ไม่ยอมเทอาหารไว้ให้,0
เดะลองทำตามสุดหล่อมั่งปกติเทนมใส่ทีเดียวแล้วอีสทันทีเลย,0
สอบถามได้จ้าเราขายราคาเทของแอดเองซื้อมายังไม่เคยออกงานเลย,0
รักกันเมื่อเทอาหารให้,0
เดี๋ยวเทให้ครับ,0
เดี๋ยวพี่เทให้,0
ชาวบ้านเขตสายไหมบางเขนเทคะแนนให้พรรคและว่าที่ผู้สมัครสรหวังตอกตะปูปิดฝาโลงระบอบประยุทธ์เลือกตั้งเลือก,0
เทเหลือเหรียญเดียว,0
หุ้นไทยวันนี้ปิดร่วงจุดต่างชาติเทขายพันล้านคาดพรุ่งนี้แกว่งไซด์เวย์,0
วันนี้เมฆสวยได้เห็นเพราะออกไปเทขยะ,0
ถนัดแบบนี้เสียดายคะแนนที่เทให้,0
ขายเทส่งฟรี,0
ขายเทใบละบาททุกใบค่าส่ง20,0
ปล่อยเทน้ำหอมเกาหหลีที่แต่ก่อนฮิตมาก,0
น้ำตาลที่บ้านเททิ้งไปได้เลยค่ะไม่มีอะไรหวานกว่านี้ล๊า,0
ตลาดวันนี้จุดดัชนีอยู่ที่จุดจากแรงเทขายนักลงทุนเพื่อทำกำไรหุ้นไทย,0
ตอนบอกเพื่อนว่าเทนิดเดียวละมันเทมาครึ่งแก้ว,0
