context,next_word,probability
(),เท,0.6009501187648456
"('โดน',)",เท,0.31493506493506496
"('ตลอด',)",เท,0.17761557177615572
(),เท,0.5981087470449172
"('โดน', 'ตลอด')",เท,0.0932066059803286
"('เธอ',)",เท,0.11094890510948906
"('ไม่',)",เท,0.12755102040816327
"('สัก',)",เท,0.08592132505175983
"('ไม่', 'สัก')",เท,0.052615503702460216
"('สุดท้าย',)",เท,0.06290849673202614
"('ก็ได้',)",เท,0.05735294117647059
"('สุดท้าย', 'ก็ได้')",เท,0.03648704236939531
"('จะ',)",เท,0.06648936170212766
"('สังคม',)",เท,0.045814479638009054
"('จะ', 'สังคม')",เท,0.029988623802011227
"('ผู้',)",เท,0.04782608695652174
"('ค่ะ',)",เท,0.04219890510948905
"('ผู้', 'ค่ะ')",เท,0.028179377841290862
"('ก็',)",เท,0.04576338928856914
"('เลย',)",เท,0.054484803558191255
"('กี่',)",เท,0.03594890510948905
"('ดี',)",เท,0.03475842891901286
"('กู',)",เท,0.03367617783676178
"('คณิต',)",เท,0.029092071611253198
"('กู', 'คณิต')",เท,0.020058276796143044
"('มา',)",เท,0.030948905109489052
"('โดน', 'มา')",เท,0.021382409156131783
"('ละ',)",เท,0.039947089947089946
"('กู', 'ละ')",เท,0.027448337825696317
"('จริงๆ',)",เท,0.024594320486815417
"('จะ', 'จริงๆ')",เท,0.017266204727505036
"('อยาก',)",เท,0.037557603686635944
"('ตอนนี้',)",เท,0.02657390510948905
"('ตอนนี้', 'ละ')",เท,0.02563516383741103
"('โดน', 'ละ')",เท,0.02657719804339646
"('เรา',)",เท,0.025234619395203335
"('เขา',)",เท,0.021241830065359478
"('เรา', 'เขา')",เท,0.015154750887850099
"('เอง',)",เท,0.020510835913312694
"('ไป',)",เท,0.027313266443701224
"('เอง', 'ไป')",เท,0.019234326455111972
"('ทุกอย่าง',)",เท,0.023144027060708564
"('จะ', 'ทุกอย่าง')",เท,0.016470345910735203
"('พรุ่งนี้',)",เท,0.018980848153214776
"('คอนเสิร์ต',)",เท,0.01871657754010695
"('พรุ่งนี้', 'คอนเสิร์ต')",เท,0.013539380491844133
"('รอ',)",เท,0.021818470326880356
"('อี',)",เท,0.017991239048811013
"('โดน', 'อี')",เท,0.013071895424836602
"('เลิก',)",เท,0.02115298674214211
"('มาก',)",เท,0.020948905109489054
"('อยาก', 'มาก')",เท,0.015056219006412222
"('ได้',)",เท,0.020564289724873668
"('โดน', 'ได้')",เท,0.01480512326125878
"('เส้า',)",เท,0.01661220043572985
"('ก็', 'เส้า')",เท,0.012174688057040998
"('นี้',)",เท,0.016281512605042014
"('ที่',)",เท,0.016124871001031993
"('นี้', 'ที่')",เท,0.011856816689694369
"('งาน',)",เท,0.04319679849340866
"('งาน', 'งาน')",เท,0.029907073138120067
"('มาก', 'งาน')",เท,0.029811669789851183
"('ไม่', 'ไม่')",เท,0.03604954526613513
"('กัน',)",เท,0.022429261559696344
"('ไม่', 'กัน')",เท,0.016060645272601797
"('กุ',)",เท,0.0221850613154961
"('แน่',)",เท,0.014928698752228164
"('กุ', 'แน่')",เท,0.0110633247828265
"('อีก',)",เท,0.01830184628595964
