tweet_test,result,result_boo
ดอกทองมากอีควายเผือกแต่ตอนนี้ลาออกละ,0,FALSE
อยากกินเผือกทอด,0,FALSE
อยากกินเผือกกวน,0,FALSE
ล่าสุดจะสั่งขนมเปี๊ยะเผือกฝอยทองไข่เค็ม,0,FALSE
มันหรือเผือกดูดีๆนะ,0,FALSE
เผือกเป็นหนึ่งในผักหมู่เหลืองที่มีคุณค่าทางโภชนาการสูง,0,FALSE
แต่งบ้านด้วยเผือกปูนจีนสวยงามมาก,0,FALSE
เมนูบัวลอยเผือกเป็นขนมไทยแสนอร่อย,0,FALSE
เผือกมีคุณสมบัติช่วยลดน้ำหนักได้,0,FALSE
การปลูกเผือกเป็นงานที่ต้องการความตั้งใจและความอดทน,0,FALSE
เผือกมีคุณสมบัติช่วยลดความเสี่ยงต่อการเป็นโรคหัวใจได้,0,FALSE
เผือกสามารถใช้ทำเครื่องดื่มได้เช่นเดียวกับกาแฟ,0,FALSE
ผักเผือกมีส่วนผสมในอาหารจีนหลายเมนู,0,FALSE
เผือกมีสีสันสวยงามและน่าประทับใจ,0,FALSE
การเลือกเผือกที่สุกและดีคุณภาพสำคัญมากในการทำอาหาร,0,FALSE
การทานเผือกช่วยให้ร่างกายมีพลังงานมากขึ้น,0,FALSE
เผือกมีวิตามินและแร่ธาตุสูง,0,FALSE
การบริโภคเผือกช่วยลดระดับน้ำตาลในเลือดได้,0,FALSE
เผือกมีคุณสมบัติช่วยป้องกันโรคความดันโลหิตสูง,0,FALSE
เผือกทอดเป็นขนมหวานที่รสชาติอร่อยและหอมมาก,0,FALSE
เมนูแกงเผือกไก่เป็นเมนูที่อร่อยและดีต่อสุขภาพ,0,FALSE
การทานเผือกช่วยป้องกันโรคเบาหวานได้,0,FALSE
แอบเผือกเรื่องบ้านเค้าแบบเงียบๆ,1,TRUE
ฉันชอบกินไอติมรสเผือกมากๆ ป้าข้างบ้านก็ชอบกินเหมือนกัน,0,FALSE
เข้าทวิตมาก็มีเรื่องชาวบ้านให้เผือกเลย ขอเฝ้าดูเเบบเงียบๆละกัน,1,TRUE
เพื่อนบ้านเป็นคนชอบเผือกเรื่องของคนอื่นมาก,1,TRUE
กินมันติดเหงือก กินเผือกติดฟัน,0,FALSE
เลิกเผือกสักทีสิไอสัส,1,TRUE
เผือกเรื่องของคนอื่นเก่งมาก,1,TRUE
ถ้าขี้เผือกก็เผือกต่อไป,1,TRUE
เธอขี้เผือกมากนะ,1,TRUE
รู้ยังใครขี้เผือก,1,TRUE
กูก็ตามเผือกอยู่,1,TRUE
กูหมดปัญญาเผือก,1,TRUE
เลื่อนเจอแล้วแวะไปเผือก,1,TRUE
อยากเผือกทุกเรื่องนั่นแหละ,1,TRUE
พวกขี้เผือกทั้งหลาย,1,TRUE
ต้องรีบเผือกไว้เลย,1,TRUE
วันไหนอยากเผือกก็กดปุ่มบน,1,TRUE
