tweet_test,result
แกงลูกมากแต่แทนๆกันได้แหละ,1
สงสัยโดนแกงแน่,1
เพื่อนแกงมากค่ะกูเลทแล้วแต่เพื่อนเลทกว่ามาก,1
เค้าเห้นทวิตนี้ๆๆๆแต่ทวิตแกงมากค่ะ,1
ไม่ไหวจริงใครแกงลูกชาย,1
อย่าแกงป้านะคะ,1
ขอแกงหน่อยเถอะน่ารักม่ะไหว,1
ก็ไม่แกงนะ,1
อันนี้ไม่รู้ค่ะแต่ที่รู้คือวันนี้เราจะโดนแกงกันมุ้ยยยยย,1
อ๋อยแกงตัวเองทำไม,1
อย่าแกง,1
ยังน้อยกว่าแอคดูดวงช่วงนี้ทวิตแกงง่ะแง,1
ไม่แกงเท่าไหร่นะ,1
เลิกแกงได้มั้ย,1
แล้วแกงพี่มายทำไม,1
อย่าแกงผัวชั้นดิ,1
อย่าแกงกันเองงง,1
บล็อกไม่จริงทวิตแกงเว่อ,1
หรือเราโดนแกงกันนะ,1
อย่าแกงพี่ด้ายม่ายยยยอยากรอลุ้นก่อนน,1
ขอแกงตัวเองแล้วกันคับนักร้องเสียงเพี้ยน,1
วันนี้โดนแกงค่ะซื้อบาทหมาน้อยถุงเงิน,1
จะแกงกันไปถึงไหน,1
ไม่แกงกันน้าาา,1
โอ้ยใครแกงพี่,1
ไม่มีอะไรอร่อยเท่สน้ำพริกอ่องกับแกงอุ้ยที่แม่ทำระ,0
อยากกินแกงที่แม่ชอบทำแต่แม่ไม่อยู่แล้วต้องทำกินเองเพราะเม่เคยสอนแค่เราคนเดียวพี่คนอื่นไม่ได้วิชาไป,0
ป้าข้างบ้านวันนี้ทรงดีอวยยศกินแกง,0
กินแกงบวบในหม้อขมิ้นแน่ๆ,0
แกงกะหรี่อร่อยม้ากแต่ใช้กระทะไฟฟ้าแล้วลำบากสุสๆ,0
พริกแกงกุกินเมื่อวานกินเหมือนกุสิ,0
แกงอันนี้อร่อย,0
มึงกุชวนแดกแกงกระหรี่แล้วมันกินแล้วตัวแดงเลยแพ้แกงกระหรี่หรอวะมึงอีไม่เคยพบเคยเจอ,0
ต้องการพริกแกงเป็นอย่างมากแต่อันไหนอร่อย,0
บริจาคให้ผู้สมัครพอได้เป็นสสกลับไม่ใส่ซองให้ปชชแดกฟรีแถมได้แกงกลับบ้าน,0
แกงหน่อไม้เล่นงานล่ะ,0
เอาไว้คล้องถุงแกง,0
กินวนไปปปวันนี้ข้นขึ้นเพราะเมื่อวานไปซื้อก้อนแกงใส่เพิ่ม,0
ยกเว้นเวลาทำสตูว์หรือแกงกะหรี่ผมมีกระทะสเตนเลสอีกใบ,0
เราผัดพริกแกง,0
กุที่อ่านคนตีกันเรื่องทานวีแกนซดแกงไข่มดแดง,0
อาหารที่เมวินจะเอาไปโลกหน้าคือผัดซีอิ๊วกับแกงฟักทอง,0
ไม่รู้เลยค่ะแต่แกงกะหลี่อร่อยมากค่ะ,0
กินแกงระวังเผ็ดกินเราสิเด็ดไม่เผ็ดแต่อร่อย,0
แกงฮังเลของโปรดอยากกินใช่แกงฮังเลไหมค้าบตาลายอ่ะเป่า,0
ชีวิตขาดแกงไตปลาไม่ได้ขอสารภาพ,0
อร่อยเท่ากินแกงงานวัดฟรีป่าวได้กลับบ้านด้วยนะ,0
รถซื้อแกงแรงได้ไง,0
แกงเทโพอร่อยจัง,0
เอ๊ะสรุปเอาข้าวราดแกงหรือเอาแกงราดข้าว,0
