context,next_word,probability
(),แกง,0.5761047463175123
(),แกง,0.5761047463175123
"('ลูก',)",แกง,0.2692307692307692
"('มาก',)",แกง,0.22474747474747475
"('โดน',)",แกง,0.1668848167539267
"('ยังไง',)",แกง,0.1056497175141243
"('โดน', 'ยังไง')",แกง,0.06036045549747435
"('เคย',)",แกง,0.07985553772070625
"('รึเปล่า',)",แกง,0.0681497175141243
"('เคย', 'รึเปล่า')",แกง,0.04183871206715717
"('ไม่',)",แกง,0.08208556149732621
"('ใช่ไหม',)",แกง,0.05110426296866975
"('ไม่', 'ใช่ไหม')",แกง,0.03257624786459335
"('ส้ม',)",แกง,0.04411125597566276
"('สีผิว',)",แกง,0.04136400322841001
"('ส้ม', 'สีผิว')",แกง,0.02701750714933389
"('รต',)",แกง,0.0368997175141243
"('ใบ',)",แกง,0.03506148222000664
"('รต', 'ใบ')",แกง,0.023310637886909073
"('ได้',)",แกง,0.03474275576581904
"('ได้', 'ลูก')",แกง,0.03050967437470505
"('สิ',)",แกง,0.029459241323648102
"('ไม่', 'สิ')",แกง,0.019937361486109736
"('บ่อย',)",แกง,0.027388847948906902
"('โดน', 'บ่อย')",แกง,0.018671627394240043
"('เลิก',)",แกง,0.02842696629213483
"('ชั้น',)",แกง,0.030403953588311133
"('เลิก', 'ชั้น')",แกง,0.020807639809977463
"('อย่า',)",แกง,0.07507107320540157
"('แม่',)",แกง,0.02562126757850125
"('อย่า', 'แม่')",แกง,0.01770780429998307
"('หยุด',)",แกง,0.027302216615606417
"('น้อง',)",แกง,0.04008152173913043
"('หยุด', 'น้อง')",แกง,0.027412407272514983
"('มา',)",แกง,0.031280467988300295
"('นักอ่าน',)",แกง,0.01993543179983858
"('มา', 'นักอ่าน')",แกง,0.014029753666265818
"('ไทยรัฐ',)",แกง,0.019163231027637808
"('ไทยรัฐ', 'มาก')",แกง,0.04849346954610112
"('เธอ',)",แกง,0.023993697178054718
"('เธอ', 'ลูก')",แกง,0.022151850145862118
"('เฮีย',)",แกง,0.017844839465343806
"('อย่า', 'เฮีย')",แกง,0.012698011154879356
"('นาง',)",แกง,0.025516795865633074
"('หรือ',)",แกง,0.019790602655771195
"('โดน', 'หรือ')",แกง,0.014017448427560789
"('ไม่', 'น้อง')",แกง,0.024539844321162865
