id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1626990255349043201,1626990255349043201,2023-02-19 00:01:19 SE Asia Standard Time,2023-02-19,00:01:19,+0700,1423274494630584328,bluebuaries,andy✿,,"WTS 💐💐 
★all 250 รวมส่ง
☆แฮชาน haechan candy ktown pb เฉินเล่อ chenle boom บูม

mention/dm
#ตลาดนัดnct #ตลาดนัดอซท #ตลาดนัดnctdream https://t.co/uNljvcjrRN",en,[],[],['https://pbs.twimg.com/media/FpQ7AlTaEAAi4tq.jpg'],0,0,1,"['ตลาดนัดnct', 'ตลาดนัดอซท', 'ตลาดนัดnctdream']",[],https://twitter.com/bluebuaries/status/1626990255349043201,,,1,https://pbs.twimg.com/media/FpQ7AlTaEAAi4tq.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1626984865752285185,1626984865752285185,2023-02-18 23:39:54 SE Asia Standard Time,2023-02-18,23:39:54,+0700,1243572687466708992,palapleng_,(REST) พอเพลง 🏳️‍🌈,,"คุณบูมสหรัฐ (บูม THE STAR IDOL)
#ลังเลใจเซเพราะเธอ #PPKritลังเล 

https://t.co/rBk9CGE8S8 https://t.co/Sd6nbmI9DK",und,[],['https://vt.tiktok.com/ZS8mdVbnw/'],[],0,0,0,"['ลังเลใจเซเพราะเธอ', 'ppkritลังเล']",[],https://twitter.com/palapleng_/status/1626984865752285185,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1626984644343373824/pu/img/izjmNae3NBJ3JGWg.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1626982814699905025,1626982814699905025,2023-02-18 23:31:45 SE Asia Standard Time,2023-02-18,23:31:45,+0700,1585266365346160640,boom_bababool,Boom Bababool,,"พวกคุณ มีปัญหาอะไร กับบูมหรือเปล่าอ่ะ

ดูแปลกๆ

บูม ไม่ใช่คนในครอบครัว ของ ธีรศักดิ์
ที่อยู่ใน ต.บ้ายกวาง จ.แพร่

ส่วนอา ที่ใช้ชื่อ ธีรศักดิ์ เขาก็ทำหน้าที่
ตามที่ได้ ตกลงทำสัญญากันไว้
กับชื่อตัวจริง และ พ่อ ตัวจริงของบูม",th,[],[],[],0,0,0,[],[],https://twitter.com/Boom_Bababool/status/1626982814699905025,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1626980408960368640,1617385323218239489,2023-02-18 23:22:11 SE Asia Standard Time,2023-02-18,23:22:11,+0700,1475488137895825408,peeraw_kpl,D.Brep,,@hpvip99 เว็ปดี ปั่นลื่นๆ/บูม,th,['hpvip99'],[],[],0,0,0,[],[],https://twitter.com/Peeraw_KPL/status/1626980408960368640,,,0,,,,,,,,"{'user_id': '1614669810352390144', 'username': 'hpvip99'}",,,,
1626977383046840325,1626977383046840325,2023-02-18 23:10:10 SE Asia Standard Time,2023-02-18,23:10:10,+0700,1334104112053456896,_bubblelee,บบลลังเล,,"บูม the star idol ร้องน้องลังเลลง tiktok จ้วยแหน่ะ เพราะม้ากกก 🥰 

#ลังเลใจเซเพราะเธอ #ppkritt #boomsaharat https://t.co/t6nzj4XsfG",th,[],[],[],0,5,4,"['ลังเลใจเซเพราะเธอ', 'ppkritt', 'boomsaharat']",[],https://twitter.com/_bubblelee/status/1626977383046840325,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1626977306576289792/pu/img/jsFfEsUb7jASFgE6.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1626964510014832642,1626964510014832642,2023-02-18 22:19:01 SE Asia Standard Time,2023-02-18,22:19:01,+0700,2797811324,thanuchsss,Birdster888,,รอดู #ChainsOfHeartEP1 น้าาาาาาาา หนูมาร์ค บูม ไฮด์ และ กัท 😍😍😍😍😍😍 @marcmc_mc #landofmarc #ตรวนธรณีEP1 🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻 https://t.co/wkPqTxiAXF,th,['marcmc_mc'],[],['https://pbs.twimg.com/media/FpQjl2oaMAE52nL.jpg'],0,0,0,"['chainsofheartep1', 'landofmarc', 'ตรวนธรณีep1']",[],https://twitter.com/thanuchsss/status/1626964510014832642,,,1,https://pbs.twimg.com/media/FpQjl2oaMAE52nL.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1626956507714842624,1626922884911468545,2023-02-18 21:47:13 SE Asia Standard Time,2023-02-18,21:47:13,+0700,871011345075810306,brbboom,บูม🥑 ver.dog lover🐾😆,,@PA_KW_AN สุดๆๆๆ,th,['pa_kw_an'],[],[],0,0,0,[],[],https://twitter.com/brbboom/status/1626956507714842624,,,0,,,,,,,,"{'user_id': '999192483148980224', 'username': 'PA_KW_AN'}",,,,
1626956054566432769,1626937763630288897,2023-02-18 21:45:25 SE Asia Standard Time,2023-02-18,21:45:25,+0700,871011345075810306,brbboom,บูม🥑 ver.dog lover🐾😆,,@PA_KW_AN โห๊ะ ขิงแรง,th,['pa_kw_an'],[],[],1,0,0,[],[],https://twitter.com/brbboom/status/1626956054566432769,,,0,,,,,,,,"{'user_id': '999192483148980224', 'username': 'PA_KW_AN'}",,,,
1626954626326224896,1626954622215819264,2023-02-18 21:39:44 SE Asia Standard Time,2023-02-18,21:39:44,+0700,936812637962174465,kn_nanaanearw,น้องวันจันทร์ทีมมัมหมีน้องคิง ft.พักนะเจี๊ยบ,,"ฟ้าไม่เคยมืดเกินที่จะมองเห็นดาว และมันจะสวยที่สุด ถ้าเราได้มองดาวดวงเดียวกันกับใครสักคน.. ✨
🎬 คืนนี้มาดูดาวด้วยกันมั้ย สำหรับตอนแรกของซีรีส์ ""ตรวนธรณี (Chains Of Heart)"" นำแสดงโดย ""ไฮด์-ศรุญสธร, บูม-รวีวิชญ์, คัท-ธนวัฒน์, ชะเอม-อลงกรณ์"" และ ""มาร์ค-ปาหุณ"" https://t.co/TSX0UiLZS3",th,[],[],['https://pbs.twimg.com/media/FpQalLlaYAE3zI6.png'],1,1,3,[],[],https://twitter.com/kn_nanaanearw/status/1626954626326224896,,,1,https://pbs.twimg.com/media/FpQalLlaYAE3zI6.png,,,,,,,"{'user_id': '936812637962174465', 'username': 'kn_nanaanearw'}",,,,
1626954622215819264,1626954622215819264,2023-02-18 21:39:43 SE Asia Standard Time,2023-02-18,21:39:43,+0700,936812637962174465,kn_nanaanearw,น้องวันจันทร์ทีมมัมหมีน้องคิง ft.พักนะเจี๊ยบ,,"เฉิงต้าลู่ รับบทโดย ""บูม-รวีวิชญ์ จิระพงษ์กานนท์"". นักธุรกิจหนุ่มหล่อ วัย 30 ที่เกิดเหตุการณ์หนึ่งขึ้นกับเขา ทำให้ชีวิตเปลี่ยนแปลงไปตลอดกาล จนวันที่เขากลับมาพร้อมบางอย่าง ที่ทำให้ใครบางคนเริ่มรู้สึกคุ้นเคย และนำไปสู่การแก้แค้น https://t.co/znVydVDK9b",th,[],[],['https://pbs.twimg.com/media/FpQaiOeagAAs3Uj.png'],1,2,5,[],[],https://twitter.com/kn_nanaanearw/status/1626954622215819264,,,1,https://pbs.twimg.com/media/FpQaiOeagAAs3Uj.png,,,,,,,"{'user_id': None, 'username': None}",,,,
